Label,WithinSectionID,AlleleCombo
Sub056 ISO-M-L,56,ISO-M-L
Sub057 ISO-P-S,57,ISO-P-S
Sub057 ISO-M-S,57,ISO-M-S
Sub057 ISO-M-M,57,ISO-M-M
Sub057 ISO-M-L,57,ISO-M-L
Sub058 ISO-P-S,58,ISO-P-S
Sub058 ISO-M-S,58,ISO-M-S
Sub058 ISO-M-M,58,ISO-M-M
Sub058 ISO-M-L,58,ISO-M-L
Sub059 ISO-P-S,59,ISO-P-S
Sub059 ISO-M-S,59,ISO-M-S
Sub059 ISO-M-M,59,ISO-M-M
Sub059 ISO-M-L,59,ISO-M-L
Sub060 ISO-P-S,60,ISO-P-S
Sub060 ISO-M-S,60,ISO-M-S
Sub060 ISO-M-M,60,ISO-M-M
Sub060 ISO-M-L,60,ISO-M-L
Sub061 ISO-P-S,61,ISO-P-S
Sub061 ISO-M-S,61,ISO-M-S
Sub061 ISO-M-M,61,ISO-M-M
Sub061 ISO-M-L,61,ISO-M-L
Sub062 ISO-P-S,62,ISO-P-S
Sub062 ISO-M-S,62,ISO-M-S
Sub062 ISO-M-M,62,ISO-M-M
Sub062 ISO-M-L,62,ISO-M-L
Sub063 ISO-P-S,63,ISO-P-S
Sub063 ISO-M-S,63,ISO-M-S
Sub063 ISO-M-M,63,ISO-M-M
Sub063 ISO-M-L,63,ISO-M-L
Sub064 ISO-P-S,64,ISO-P-S
Sub064 ISO-M-S,64,ISO-M-S
Sub064 ISO-M-M,64,ISO-M-M
Sub064 ISO-M-L,64,ISO-M-L
Sub065 ISO-P-S,65,ISO-P-S
Sub065 ISO-M-S,65,ISO-M-S
Sub065 ISO-M-M,65,ISO-M-M
Sub065 ISO-M-L,65,ISO-M-L
Sub066 ISO-P-S,66,ISO-P-S
Sub066 ISO-M-S,66,ISO-M-S
Sub066 ISO-M-M,66,ISO-M-M
Sub066 ISO-M-L,66,ISO-M-L
Sub067 ISO-P-S,67,ISO-P-S
Sub067 ISO-M-S,67,ISO-M-S
Sub067 ISO-M-M,67,ISO-M-M
Sub067 ISO-M-L,67,ISO-M-L
Sub068 ISO-P-S,68,ISO-P-S
Sub068 ISO-M-S,68,ISO-M-S
Sub068 ISO-M-M,68,ISO-M-M
Sub068 ISO-M-L,68,ISO-M-L
Sub069 ISO-P-S,69,ISO-P-S
Sub069 ISO-M-S,69,ISO-M-S
Sub069 ISO-M-M,69,ISO-M-M
Sub069 ISO-M-L,69,ISO-M-L
Sub070 ISO-P-S,70,ISO-P-S
Sub070 ISO-M-S,70,ISO-M-S
Sub070 ISO-M-M,70,ISO-M-M
Sub070 ISO-M-L,70,ISO-M-L
Sub071 ISO-P-S,71,ISO-P-S
Sub071 ISO-M-S,71,ISO-M-S
Sub071 ISO-M-M,71,ISO-M-M
Sub071 ISO-M-L,71,ISO-M-L
Sub072 ISO-P-S,72,ISO-P-S
Sub072 ISO-M-S,72,ISO-M-S
Sub072 ISO-M-M,72,ISO-M-M
Sub072 ISO-M-L,72,ISO-M-L
Sub073 ISO-P-S,73,ISO-P-S
Sub073 ISO-M-S,73,ISO-M-S
Sub073 ISO-M-M,73,ISO-M-M
