Seed Label,Practice,subbasin,HRU
Sub116 ISO-M-L,ISO-M-L,116,0
Sub117 ISO-P-S,ISO-P-S,117,0
Sub117 ISO-M-S,ISO-M-S,117,0
Sub117 ISO-M-M,ISO-M-M,117,0
Sub117 ISO-M-L,ISO-M-L,117,0
Sub118 ISO-P-S,ISO-P-S,118,0
Sub118 ISO-M-S,ISO-M-S,118,0
Sub118 ISO-M-M,ISO-M-M,118,0
Sub118 ISO-M-L,ISO-M-L,118,0
Sub119 ISO-P-S,ISO-P-S,119,0
Sub119 ISO-M-S,ISO-M-S,119,0
Sub119 ISO-M-M,ISO-M-M,119,0
Sub119 ISO-M-L,ISO-M-L,119,0
Sub120 ISO-P-S,ISO-P-S,120,0
Sub120 ISO-M-S,ISO-M-S,120,0
Sub120 ISO-M-M,ISO-M-M,120,0
Sub120 ISO-M-L,ISO-M-L,120,0
Sub121 ISO-P-S,ISO-P-S,121,0
Sub121 ISO-M-S,ISO-M-S,121,0
Sub121 ISO-M-M,ISO-M-M,121,0
Sub121 ISO-M-L,ISO-M-L,121,0
Sub122 ISO-P-S,ISO-P-S,122,0
Sub122 ISO-M-S,ISO-M-S,122,0
Sub122 ISO-M-M,ISO-M-M,122,0
Sub122 ISO-M-L,ISO-M-L,122,0
Sub123 ISO-P-S,ISO-P-S,123,0
Sub123 ISO-M-S,ISO-M-S,123,0
Sub123 ISO-M-M,ISO-M-M,123,0
Sub123 ISO-M-L,ISO-M-L,123,0
Sub124 ISO-P-S,ISO-P-S,124,0
Sub124 ISO-M-S,ISO-M-S,124,0
Sub124 ISO-M-M,ISO-M-M,124,0
Sub124 ISO-M-L,ISO-M-L,124,0
Sub125 ISO-P-S,ISO-P-S,125,0
Sub125 ISO-M-S,ISO-M-S,125,0
Sub125 ISO-M-M,ISO-M-M,125,0
Sub125 ISO-M-L,ISO-M-L,125,0
Sub126 ISO-P-S,ISO-P-S,126,0
Sub126 ISO-M-S,ISO-M-S,126,0
Sub126 ISO-M-M,ISO-M-M,126,0
Sub126 ISO-M-L,ISO-M-L,126,0
Sub127 ISO-P-S,ISO-P-S,127,0
Sub127 ISO-M-S,ISO-M-S,127,0
Sub127 ISO-M-M,ISO-M-M,127,0
Sub127 ISO-M-L,ISO-M-L,127,0
Sub128 ISO-P-S,ISO-P-S,128,0
Sub128 ISO-M-S,ISO-M-S,128,0
Sub128 ISO-M-M,ISO-M-M,128,0
Sub128 ISO-M-L,ISO-M-L,128,0
Sub129 ISO-P-S,ISO-P-S,129,0
Sub129 ISO-M-S,ISO-M-S,129,0
Sub129 ISO-M-M,ISO-M-M,129,0
Sub129 ISO-M-L,ISO-M-L,129,0
Sub130 ISO-P-S,ISO-P-S,130,0
Sub130 ISO-M-S,ISO-M-S,130,0
Sub130 ISO-M-M,ISO-M-M,130,0
Sub130 ISO-M-L,ISO-M-L,130,0
Sub131 ISO-P-S,ISO-P-S,131,0
Sub131 ISO-M-S,ISO-M-S,131,0
Sub131 ISO-M-M,ISO-M-M,131,0
Sub131 ISO-M-L,ISO-M-L,131,0
Sub132 ISO-P-S,ISO-P-S,132,0
Sub132 ISO-M-S,ISO-M-S,132,0
Sub132 ISO-M-M,ISO-M-M,132,0
Sub132 ISO-M-L,ISO-M-L,132,0
Sub133 ISO-P-S,ISO-P-S,133,0
Sub133 ISO-M-S,ISO-M-S,133,0
Sub133 ISO-M-M,ISO-M-M,133,0
Sub133 ISO-M-L,ISO-M-L,133,0
Sub134 ISO-P-S,ISO-P-S,134,0
Sub134 ISO-M-S,ISO-M-S,134,0
Sub134 ISO-M-M,ISO-M-M,134,0
Sub134 ISO-M-L,ISO-M-L,134,0
Sub135 ISO-P-S,ISO-P-S,135,0
Sub135 ISO-M-S,ISO-M-S,135,0
Sub135 ISO-M-M,ISO-M-M,135,0
Sub135 ISO-M-L,ISO-M-L,135,0
Sub136 ISO-P-S,ISO-P-S,136,0
Sub136 ISO-M-S,ISO-M-S,136,0
Sub136 ISO-M-M,ISO-M-M,136,0
Sub136 ISO-M-L,ISO-M-L,136,0
Sub137 ISO-P-S,ISO-P-S,137,0
Sub137 ISO-M-S,ISO-M-S,137,0
Sub137 ISO-M-M,ISO-M-M,137,0
Sub137 ISO-M-L,ISO-M-L,137,0
Sub138 ISO-P-S,ISO-P-S,138,0
Sub138 ISO-M-S,ISO-M-S,138,0
Sub138 ISO-M-M,ISO-M-M,138,0
Sub138 ISO-M-L,ISO-M-L,138,0
Sub139 ISO-P-S,ISO-P-S,139,0
Sub139 ISO-M-S,ISO-M-S,139,0
Sub139 ISO-M-M,ISO-M-M,139,0
Sub139 ISO-M-L,ISO-M-L,139,0
