Seed Label,Practice,subbasin,HRU
Sub108 ISO-P-S,ISO-P-S,108,0
Sub108 ISO-M-S,ISO-M-S,108,0
Sub108 ISO-M-M,ISO-M-M,108,0
Sub108 ISO-M-L,ISO-M-L,108,0
Sub109 ISO-P-S,ISO-P-S,109,0
Sub109 ISO-M-S,ISO-M-S,109,0
Sub109 ISO-M-M,ISO-M-M,109,0
Sub109 ISO-M-L,ISO-M-L,109,0
Sub110 ISO-P-S,ISO-P-S,110,0
Sub110 ISO-M-S,ISO-M-S,110,0
Sub110 ISO-M-M,ISO-M-M,110,0
Sub110 ISO-M-L,ISO-M-L,110,0
Sub111 ISO-P-S,ISO-P-S,111,0
Sub111 ISO-M-S,ISO-M-S,111,0
Sub111 ISO-M-M,ISO-M-M,111,0
Sub111 ISO-M-L,ISO-M-L,111,0
Sub112 ISO-P-S,ISO-P-S,112,0
Sub112 ISO-M-S,ISO-M-S,112,0
Sub112 ISO-M-M,ISO-M-M,112,0
Sub112 ISO-M-L,ISO-M-L,112,0
Sub113 ISO-P-S,ISO-P-S,113,0
Sub113 ISO-M-S,ISO-M-S,113,0
Sub113 ISO-M-M,ISO-M-M,113,0
Sub113 ISO-M-L,ISO-M-L,113,0
Sub114 ISO-P-S,ISO-P-S,114,0
Sub114 ISO-M-S,ISO-M-S,114,0
Sub114 ISO-M-M,ISO-M-M,114,0
Sub114 ISO-M-L,ISO-M-L,114,0
Sub115 ISO-P-S,ISO-P-S,115,0
Sub115 ISO-M-S,ISO-M-S,115,0
Sub115 ISO-M-M,ISO-M-M,115,0
Sub115 ISO-M-L,ISO-M-L,115,0
Sub116 ISO-P-S,ISO-P-S,116,0
Sub116 ISO-M-S,ISO-M-S,116,0
Sub116 ISO-M-M,ISO-M-M,116,0
