AFMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,AFMO Leng(m),Hybrid DA [m2],NEAR_FID,DISt to NHD blueline (m),AREASYMBOL,MUSYM,MUKEY,WEI,FrmlndCls,DrainClass,FloodFCls,GravelSrc,HydrcRatng,hydrcRat_1,KfactRF,KfactWS,NirrCpCls,NirrCpScls,OrgMatter,PondFCls,Slope,SandSrc,SurfText,Tfactor,WEG,compname,Elev,ElevMin,ElevMax
6306,COB,2,54,715,708,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,595.5889088,472964.256,1678,1217.870201,MN161,L82A,455431,86,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.28,0.28,2,w,5.85,None,1.1,Poor,silty clay loam,5,4,Marna,324.1281253,311,337
6909,LES,1,43,783,778,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,835.0210166,469699.7668,1202,66.44736353,MN161,L15A,455466,0,Not prime farmland,Very poorly drained,None,Poor,All Hydric,0.75,0.02,0.02,8,w,27.5,Frequent,0.8,Poor,muck,5,8,Houghton,364.3569136,356,371
9096,LES,1,45,989,887,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,1042.599445,467025.4825,236,1.274358823,MN047,114,397804,48,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,7.5,Frequent,1,Poor,clay loam,5,6,Glencoe,393.2865831,382,414
3629,COB,3,10,446,349,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,14,598.9075474,466714.8151,233,0,MN013,110,396132,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,0.5,0.28,0.28,2,w,6,None,1.75,Poor,silty clay loam,5,4,Marna,308.9112318,292,317
4734,COB,2,37,573,531,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,707.9757345,462134.4574,243,49.46560179,MN161,L115A,455473,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,0.75,0.28,0.28,2,w,6.7,None,1.05,Poor,silty clay loam,5,4,Brownton,330.3505035,316,339
6745,MAP,2,50,750,727,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,504.4161547,449899.0299,1720,208.8805953,MN013,211,396153,86,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,8,Frequent,0.5,Poor,silty clay,5,4,Lura,312.1876706,306,315
8615,MAP,2,62,916,917,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,686.9583417,443602.5638,970,255.8814308,MN043,110,397076,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.28,0.28,2,w,6,None,1,Poor,silty clay loam,5,4,Marna,320.8109634,315,328
3446,MAP,3,13,417,416,Le Sueur,Lower Maple,Map btwn gauges,BT,3,LO,19,606.97918,431603.4899,1002,235.0623136,MN013,114,396134,38,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,7.5,Frequent,0.5,Poor,silty clay loam,5,7,Glencoe,306.2552319,298,314
6123,COB,2,54,688,626,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,613.9879561,427814.7212,1035,0,MN161,L115A,455473,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.28,0.28,2,w,6.7,None,1,Poor,silty clay loam,5,4,Brownton,330.1215387,320,338
7613,COB,2,54,834,765,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,1061.989955,427142.8231,460,0,MN043,L83A,1676002,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,5.82,None,1,Poor,clay loam,5,6,Webster,334.9213032,320,345
6356,COB,2,37,719,675,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,UL,20,751.9172423,413438.5427,243,719.9039008,MN161,L5A,432287,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.625,0.24,0.24,2,w,4.87,None,1.4,Poor,loam,5,6,Delft,356.9965719,346,366
7311,COB,2,54,834,765,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,824.4477117,406900.6307,235,0,MN043,110,397076,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.28,0.28,2,w,6,None,1,Poor,silty clay loam,5,4,Marna,334.9213032,320,345
1515,LES,2,14,202,242,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,833.9310476,405377.4836,771,1150.828383,MN161,L36A,433237,48,Prime farmland if drained,Somewhat poorly drained,None,Poor,Partially Hydric,0.6666667,0.28,0.28,2,w,4.68,None,1.066666667,Poor,loam,5,6,Hamel,336.0377771,323,346
695,LES,2,1,83,45,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,518.0013248,403453.7511,394,0,MN161,L84A,455433,48,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,10.73,Frequent,0.6,Poor,clay loam,5,6,Harps,339.4449838,324,360
2182,LES,2,14,261,263,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,759.546204,401845.0374,1408,0,MN161,L81A,399456,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5714286,0.28,0.28,2,w,5.38,None,1.457142857,Poor,clay loam,5,6,Cordova,329.6674186,313,342
2602,COB,3,10,314,331,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,885.6669101,401113.8281,977,100.2229471,MN013,211,396153,86,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,0.6,0.28,0.28,3,w,8,Frequent,11.92,Poor,silty clay,5,4,Lura,304.2414933,292,311
2561,COB,3,34,332,396,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,726.1796496,401064.224,826,409.6693746,MN013,211,396153,86,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,0.4,0.28,0.28,3,w,8,Frequent,1.5,Poor,silty clay,5,4,Lura,308.3312076,301,317
7129,COB,2,54,814,773,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,1163.993246,399464.541,1219,814.8388212,MN043,113,397077,48,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.24,0.24,2,w,5.5,None,1,Poor,clay loam,5,6,Webster,327.199027,317,335
7045,LES,1,43,783,778,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,586.2689265,398658.2368,1202,786.5456005,MN047,113,397803,48,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.24,0.24,2,w,6.5,None,1,Poor,clay loam,5,6,Webster,364.3569136,356,371
