ICMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,L[m],max_flowacc,mean_flowlen,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,Elev,ElevMin,ElevMax
1226,COB,2,40,503,441,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,2032.196299,43783,78765.49219,LeSueur River,32067,CD5,PUBLIC DITCH OPEN,BLUE EARTH,312.9511225,306,321
969,LES,1,43,830,754,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,683.2445887,42385,146651.2031,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,368.8424307,355,379
1276,MAP,2,52,684,648,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,23,447.1664572,42367,67718.00781,LeSueur River,32056,JD38,PUBLIC DITCH OPEN,BLUE EARTH,308.5231376,304,318
1278,MAP,2,52,723,684,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,23,1270.682402,42328,68101.13281,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,313.0773302,305,320
974,LES,1,43,830,754,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,1133.762382,42135,147541.4844,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,368.8424307,355,379
1187,LES,3,7,181,105,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,737.8889384,40170,59054.44531,LeSueur River,32074,CD88,PUBLIC DITCH OPEN,BLUE EARTH,301.4886889,289,310
1191,LES,3,7,181,105,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,572.6555337,39979,59727.02734,LeSueur River,32074,CD88,PUBLIC DITCH OPEN,BLUE EARTH,301.4886889,289,310
934,LES,1,45,850,823,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,494.259688,39931,158584.1563,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,387.2643464,377,399
946,LES,1,45,850,823,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,283.0597639,39926,158576.3125,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,387.2643464,377,399
1277,MAP,2,52,723,684,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,23,154.3387825,39781,68756.67188,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,313.0773302,305,320
1274,MAP,2,52,779,740,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,23,2366.253687,39712,70137.57031,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,312.8990829,307,320
1261,COB,2,40,503,441,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,2410.865335,39331,80812.51563,LeSueur River,32067,CD5,PUBLIC DITCH OPEN,BLUE EARTH,312.9511225,306,321
1248,MAP,2,50,727,734,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,4326.47346,38082,88823.90625,LeSueur River,32058,CD95,PUBLIC DITCH OPEN,FARIBAULT-BLUE EARTH,309.5762404,305,312
1188,LES,3,7,181,105,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,286.5305505,37368,60497.74219,LeSueur River,32074,CD88,PUBLIC DITCH OPEN,BLUE EARTH,301.4886889,289,310
1185,LES,3,7,181,105,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,1776.204768,37366,61536.33594,LeSueur River,32074,CD88,PUBLIC DITCH OPEN,BLUE EARTH,301.4886889,289,310
1318,MAP,1,72,1051,1046,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,1953.798926,35265,112675.1484,LeSueur River,32046,CD20,PUBLIC DITCH OPEN,FARIBAULT,324.3407534,318,340
1437,COB,2,37,628,546,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,1988.354491,34502,98185.57813,LeSueur River,32029,CD8A,PUBLIC DITCH OPEN,WASECA,330.1530158,315,338
1396,MAP,2,53,967,911,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,1140.601672,31908,89798.35938,LeSueur River,32054,JD1,PUBLIC DITCH OPEN,FARIBAULT,320.151777,312,333
1313,MAP,1,72,1051,1046,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,696.4966603,31401,114123.1328,LeSueur River,32046,CD20,PUBLIC DITCH OPEN,FARIBAULT,324.3407534,318,340
1415,COB,2,54,709,708,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LC,27,4444.455426,31229,83337.83594,LeSueur River,32033,JD51,PUBLIC DITCH OPEN,WASECA-BLUE EARTH,321.0033414,311,329
1395,MAP,2,53,967,911,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,812.4352553,30176,90814.39063,LeSueur River,32054,JD1,PUBLIC DITCH OPEN,FARIBAULT,320.151777,312,333
1184,LES,3,7,181,105,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,1567.697707,30115,63304.54297,LeSueur River,32074,CD88,PUBLIC DITCH OPEN,BLUE EARTH,301.4886889,289,310
1394,MAP,2,53,967,911,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,1066.090646,28827,91752.16406,LeSueur River,32054,JD1,PUBLIC DITCH OPEN,FARIBAULT,320.151777,312,333
1403,MAP,2,64,909,874,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,3423.050516,28788,102582.8125,LeSueur River,32051,CD7,PUBLIC DITCH OPEN,FARIBAULT,316.8983688,310,323
1085,LES,2,24,186,237,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,2322.705042,28589,106185.5938,LeSueur River,32005,CD45,PUBLIC DITCH OPEN,WASECA,335.4045584,332,341
1438,COB,2,37,668,628,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,2174.352378,27958,100318.4375,LeSueur River,32029,CD8A,PUBLIC DITCH OPEN,WASECA,335.0800194,330,339
