GeneID,MOsID,MOs,SedRed,Duck,Cost,sedbcr,duckbcr,SB574,HydroSB,Zone,watershed,coords_x1,coords_x2,ld0.0,ld0.1,ld0.2,ld0.3,ld0.4,ld0.5,ld0.6,ld0.7,ld0.8,ld0.9,ld1.0
34,83,TLMO,0.7618,0,519.7078,1.46582368,0,6,9,2,LES,182903.999,2358642.549,0,0.146582368,0.293164736,0.439747104,0.586329472,0.73291184,0.879494208,1.026076576,1.172658944,1.319241312,1.46582368
35,85,TLMO,1.0081,0,687.6702,1.465964353,0,6,9,2,LES,182495.082,2358646.88,0,0.146596435,0.293192871,0.439789306,0.586385741,0.732982177,0.879578612,1.026175047,1.172771483,1.319367918,1.465964353
36,86,TLMO,2.1554,0,1878.4026,1.14746434,0,8,1,2,LES,181629.3433,2358650.923,0,0.114746434,0.229492868,0.344239302,0.458985736,0.57373217,0.688478604,0.803225038,0.917971472,1.032717906,1.14746434
37,87,TLMO,3.5796,0,3119.5617,1.14746889,0,8,1,2,LES,180222.8766,2358659.934,0,0.114746889,0.229493778,0.344240667,0.458987556,0.573734445,0.688481334,0.803228223,0.917975112,1.032722001,1.14746889
38,92,TLMO,0.0029,0,49.8091,0.058222293,0,9,1,3,LES,173862.2902,2358366.977,0,0.005822229,0.011644459,0.017466688,0.023288917,0.029111146,0.034933376,0.040755605,0.046577834,0.052400063,0.058222293
39,94,TLMO,0.0336,0,586.6801,0.057271416,0,9,1,3,LES,173228.7693,2358640.424,0,0.005727142,0.011454283,0.017181425,0.022908566,0.028635708,0.03436285,0.040089991,0.045817133,0.051544274,0.057271416
40,96,TLMO,0.0346,0,604.137,0.057271778,0,9,1,3,LES,173646.4303,2358504.327,0,0.005727178,0.011454356,0.017181533,0.022908711,0.028635889,0.034363067,0.040090244,0.045817422,0.0515446,0.057271778
41,99,TLMO,0.8732,0,595.6812,1.465884772,0,6,9,2,LES,184456.5686,2358390.069,0,0.146588477,0.293176954,0.439765432,0.586353909,0.732942386,0.879530863,1.02611934,1.172707818,1.319296295,1.465884772
42,101,TLMO,0.0019,0,32.6156,0.058254332,0,9,1,3,LES,172999.1381,2358835.193,0,0.005825433,0.011650866,0.0174763,0.023301733,0.029127166,0.034952599,0.040778033,0.046603466,0.052428899,0.058254332
43,102,TLMO,0.5512,0,229.8368,2.398223435,0,22,1,3,LES,172555.219,2358141.47,0,0.239822344,0.479644687,0.719467031,0.959289374,1.199111718,1.438934061,1.678756405,1.918578748,2.158401092,2.398223435
44,105,TLMO,0.0045,0,3.8767,1.160781077,0,8,1,2,LES,181481.8486,2357902.162,0,0.116078108,0.232156215,0.348234323,0.464312431,0.580390538,0.696468646,0.812546754,0.928624861,1.044702969,1.160781077
45,106,TLMO,0.0038,0,3.3359,1.139122875,0,8,1,2,LES,181670.0908,2357872.162,0,0.113912288,0.227824575,0.341736863,0.45564915,0.569561438,0.683473725,0.797386013,0.9112983,1.025210588,1.139122875
46,107,TLMO,0.6059,0,1280.6982,0.473101313,0,8,1,2,LES,178219.1412,2358687.549,0,0.047310131,0.094620263,0.141930394,0.189240525,0.236550657,0.283860788,0.331170919,0.37848105,0.425791182,0.473101313
47,108,TLMO,3.3297,0,2901.8154,1.147454108,0,8,1,2,LES,178712.7888,2358462.292,0,0.114745411,0.229490822,0.344236232,0.458981643,0.573727054,0.688472465,0.803217875,0.917963286,1.032708697,1.147454108
48,109,TLMO,0.488,0,200.1145,2.438603899,0,15,1,2,LES,179244.0845,2357985.05,0,0.24386039,0.48772078,0.73158117,0.97544156,1.21930195,1.46316234,1.707022729,1.950883119,2.194743509,2.438603899
49,110,TLMO,1.425,0,1028.8764,1.385006012,0,5,9,2,LES,189400.359,2358190.841,0,0.138500601,0.277001202,0.415501804,0.554002405,0.692503006,0.831003607,0.969504209,1.10800481,1.246505411,1.385006012
