SB574,NEAR_FID,DISTANCE
19,4,25703.04683930000
19,1,24660.85691840000
19,2,14760.93713120000
19,3,27036.28105560000
20,0,43824.39393930000
20,4,30480.98842620000
20,1,29382.48857970000
20,2,20309.97457910000
20,3,33457.15166240000
21,0,43740.50453340000
21,4,30286.73080190000
21,1,29174.53401750000
21,2,20530.99108840000
21,3,34176.83311680000
22,0,32427.03263180000
22,4,21307.41510410000
22,1,20517.84488700000
22,2,10230.23206050000
22,3,17642.35571430000
23,0,39973.45616230000
23,4,26741.56373620000
23,1,25658.97199840000
23,2,16326.86621870000
23,3,29464.31885820000
24,0,30387.36207440000
24,4,20002.51665880000
24,1,19319.47970030000
24,2,9639.69307013000
24,3,14873.80675650000
25,0,29249.82789090000
25,4,18067.26041490000
25,1,17293.91319170000
25,2,7159.89549114000
25,3,15445.65236080000
26,0,32858.63671750000
26,4,21170.68801540000
26,1,20306.38028020000
26,2,9808.70216353000
26,3,19068.08989680000
27,0,37873.15198690000
27,4,24822.54316470000
27,1,23765.38253700000
27,2,14065.82493060000
27,3,26864.39737260000
28,0,38436.59745080000
28,4,25152.15687410000
28,1,24063.66710530000
28,2,14904.86522980000
28,3,28429.62077950000
29,0,30016.38287040000
29,4,18597.56170700000
29,1,17786.62152070000
29,2,7459.12588784000
29,3,16428.76742790000
30,0,30548.75021470000
30,4,18935.88687000000
30,1,18095.26425130000
30,2,7660.27054293000
30,3,17196.76804059990
31,0,35797.74449840000
31,4,23025.98484170000
31,1,22008.91213280000
31,2,11909.37054880000
31,3,24144.98449430000
32,0,37495.15119700000
32,4,24349.81411350000
32,1,23280.52249150000
32,2,13776.89405690000
32,3,26951.75250030000
33,0,31310.80494480000
33,4,19313.03998530000
33,1,18415.90958120000
33,2,7891.40298218000
33,3,18585.93090790000
34,0,28789.74321320000
34,4,17947.21124910000
34,1,17222.53270590000
34,2,7388.59117259000
34,3,14515.87312580000
35,0,28650.45592070000
35,4,18612.90763950000
35,1,17990.05164230000
35,2,8841.58892418000
35,3,13098.33426430000
36,0,45426.25602420000
36,4,31882.38528940000
36,1,30758.82842390000
36,2,22664.27902440000
36,3,36701.66382380000
37,0,29453.39511570000
37,4,17473.20669720000
37,1,16589.67522780000
37,2,6074.71255800000
37,3,17241.79524100000
38,0,42368.26489330000
38,4,28923.89051040000
38,1,27813.14493560000
38,2,19156.96132620000
38,3,32882.92777410000
39,0,41216.50831010000
39,4,27699.52754780000
39,1,26579.67826880000
39,2,18390.91896630000
39,3,32586.43483020000
40,0,34603.44185689990
40,4,21699.41000080000
40,1,20666.75893440000
40,2,10742.93786380000
40,3,23635.51837350000
41,0,43645.67281630000
41,4,30097.34506440000
41,1,28973.31489090000
41,2,20980.20894970000
41,3,35180.88729100000
42,0,28151.07181190000
42,4,17034.29880460000
42,1,16280.27507190000
42,2,6312.60568357000
42,3,14602.79047090000
43,0,33412.46910870000
43,4,21168.91775450000
43,1,20229.10932010000
43,2,9749.94083848000
43,3,20757.85432280000
44,0,32259.93710220000
44,4,19460.84677200000
44,1,18448.22908080000
44,2,8380.50955069000
44,3,21464.79496860000
45,0,26273.68201700000
45,4,16786.17561440000
45,1,16261.87919390000
45,2,8204.16787825000
45,3,10755.68900650000
46,0,27353.29257000000
46,4,15941.24632000000
46,1,15155.39521390000
46,2,5054.89323443000
46,3,14689.51404590000
47,0,27448.71027630000
47,4,15712.57226720000
47,1,14879.88460840000
47,2,4530.87868987000
47,3,15421.39222700000
48,0,36999.63912100000
48,4,23736.60460730000
48,1,22651.95470530000
48,2,13462.38347250000
48,3,27110.39899470000
49,0,26207.11338010000
49,4,17793.19063540000
49,1,17391.24910350000
49,2,10256.42989030000
49,3,9228.89062505000
50,0,32704.20494470000
50,4,19601.91116820000
50,1,18544.69699510000
50,2,9036.37639856000
50,3,22923.38695850000
51,0,25990.86041770000
51,4,15470.64207200000
51,1,14822.75414980000
51,2,5891.66277888000
51,3,12266.82311310000
52,0,36815.88266330000
52,4,23398.81600130000
52,1,22293.29899050000
52,2,13691.05275760000
52,3,27906.51042860000
53,0,23864.96713880000
53,4,14528.09067910000
53,1,14067.50647850000
53,2,7197.45667171000
53,3,9348.58148939000
54,0,23691.57852970000
54,4,16162.18008910000
54,1,15902.80501230000
54,2,10452.25152160000
54,3,6672.60070089000
55,0,23345.60872960000
55,4,14900.15879390000
55,1,14553.05560910000
55,2,8651.16808706000
55,3,7807.63232502000
56,0,20920.30659060000
56,4,17743.30788480000
56,1,17922.97761090000
56,2,16111.78524960000
56,3,1392.81660347000
57,0,20323.13538100000
57,4,17419.82946260000
57,1,17634.03390290000
57,2,16203.70843140000
57,3,1057.44561793000
58,0,19722.74401440000
58,4,15360.15676780000
58,1,15486.43702280000
58,2,13762.13788250000
58,3,1520.55112198000
59,0,30520.17310190000
59,4,17641.18092640000
59,1,16621.89032330000
59,2,6691.38003282000
59,3,20462.94321600000
60,0,19935.28479370000
60,4,16982.24898100000
60,1,17203.24086700000
60,2,15927.90074320000
60,3,669.69958749800
61,0,18147.60486130000
61,4,16127.64114800000
61,1,16460.82497860000
61,2,16385.18082440000
61,3,1966.21836270000
62,0,34409.43435590000
62,4,21231.91823619990
62,1,20161.53522920000
62,2,10798.39677990000
62,3,24583.77456520000
63,0,34989.56288560000
63,4,21633.60177060000
63,1,20537.52677280000
63,2,11746.55885080000
63,3,25997.03483260000
64,0,40796.27419000000
64,4,27245.82271290000
64,1,26121.66003070000
