GeneID,MOs,MOsID,SED_B,SED_BCR_x,Duck_BCR_x,FID_1,Subbasin,SED_BCR_y,Duck_BCR_y,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed,Subbasin.1,800001,800002,800003,800004,800005,800006,800007,800008
69,TLMO,145,0.01,0.049809975,0,488,1,0.05,0,3,175935.2761,2357287.585,9,1,3,LES,0,1,1,1,1,1,1,1,1
70,TLMO,146,0.007,0.675349736,0,489,1,0.68,0,3,175873.8572,2357153.848,43,1,3,LES,0,1,1,1,1,1,1,1,1
71,TLMO,148,0.043,0.682084959,0,491,1,0.68,0,3,166571.4219,2357377.122,10,1,3,LES,0,1,1,1,1,1,1,1,1
72,TLMO,149,0.017,0.123394063,0,492,1,0.12,0,3,166503.0125,2357263.477,13,1,3,LES,0,1,1,1,1,1,1,1,1
73,TLMO,150,0.421,2.616971151,0,3467,9,2.62,0,2,186462.9542,2357107.007,14,9,2,LES,0,1,1,1,1,1,1,1,1
74,TLMO,151,0.004,0.057750058,0,493,1,0.06,0,3,176434.0256,2357078.077,9,1,3,LES,0,1,1,1,1,1,1,1,1
75,TLMO,152,0.012,0.619994834,0,494,1,0.62,0,3,176377.3307,2357035.518,43,1,3,LES,0,1,1,1,1,1,1,1,1
76,TLMO,153,0.007,0.451962811,0,495,1,0.45,0,3,176997.5022,2357381.846,4,1,3,LES,0,1,1,1,1,1,1,1,1
77,TLMO,154,0.025,0.050139287,0,496,1,0.05,0,3,176835.6564,2357191.274,9,1,3,LES,0,1,1,1,1,1,1,1,1
78,TLMO,155,0.027,0.637800298,0,497,1,0.64,0,3,176726.0019,2357024.33,43,1,3,LES,0,1,1,1,1,1,1,1,1
79,TLMO,156,1.772,2.055536609,0,498,1,2.06,0,3,172066.093,2357266.306,22,1,3,LES,0,1,1,1,1,1,1,1,1
80,TLMO,160,2.515,1.252425173,0,501,1,1.25,0,3,170033.8551,2358076.698,2,1,3,LES,0,1,1,1,1,1,1,1,1
81,TLMO,161,5.845,1.703876472,0,502,1,1.7,0,3,170456.5407,2357338.676,11,1,3,LES,0,1,1,1,1,1,1,1,1
82,TLMO,163,0.197,2.240469475,0,3470,9,2.24,0,2,185486.9862,2357093.947,7,9,2,LES,0,1,1,1,1,1,1,1,1
83,TLMO,164,0.232,2.62022543,0,3471,9,2.62,0,2,185684.4582,2357030.016,14,9,2,LES,0,1,1,1,1,1,1,1,1
84,TLMO,165,0.463,1.545822107,0,3472,9,1.55,0,2,185511.571,2356953.74,17,9,2,LES,0,1,1,1,1,1,1,1,1
85,TLMO,166,0.006,1.798561158,0,503,1,1.8,0,3,169850.0908,2356762.162,11,1,3,LES,0,1,1,1,1,1,1,1,1
86,TLMO,167,0.282,0.40683189,0,504,1,0.41,0,3,177762.3301,2357241.861,4,1,3,LES,0,1,1,1,1,1,1,1,1
87,TLMO,168,0.214,0.986811768,0,3473,9,0.99,0,2,178418.9802,2357785.078,8,1,2,LES,0,1,1,1,1,1,1,1,1
88,TLMO,169,1.315,2.090340877,0,3474,9,2.09,0,2,178210.4701,2357523.13,15,1,2,LES,0,1,1,1,1,1,1,1,1
89,TLMO,171,0.187,2.094932951,0,3476,9,2.09,0,2,180767.1111,2356767.665,15,1,2,LES,0,1,1,1,1,1,1,1,1
90,TLMO,172,6.738,0.983546255,0,3477,9,0.98,0,2,181598.117,2357797.673,8,1,2,LES,0,1,1,1,1,1,1,1,1
91,TLMO,173,0.847,2.090444423,0,3478,9,2.09,0,2,180579.6479,2357223.143,15,1,2,LES,0,1,1,1,1,1,1,1,1
92,TLMO,174,0.408,0.396877508,0,3479,9,0.4,0,2,182332.8183,2357162.891,16,9,2,LES,0,1,1,1,1,1,1,1,1
93,TLMO,175,0.025,1.285082761,0,3480,9,1.29,0,2,184126.5111,2357657.713,17,9,2,LES,0,1,1,1,1,1,1,1,1
94,TLMO,176,0.251,0.397817866,0,3481,9,0.4,0,2,182930.4612,2357052.21,16,9,2,LES,0,1,1,1,1,1,1,1,1
95,TLMO,177,4.872,1.544399586,0,3482,9,1.54,0,2,183547.2268,2357296.805,17,9,2,LES,0,1,1,1,1,1,1,1,1
96,TLMO,179,0.91,2.092160834,0,3483,9,2.09,0,2,178385.2951,2356771.637,15,1,2,LES,0,1,1,1,1,1,1,1,1
97,TLMO,184,0.018,0.049964331,0,510,1,0.05,0,3,173744.9636,2357019.345,9,1,3,LES,0,1,1,1,1,1,1,1,1
98,TLMO,185,1.365,1.733575484,0,511,1,1.73,0,3,173760.7113,2356730.192,26,1,3,LES,0,1,1,1,1,1,1,1,1
99,TLMO,193,0.006,1.798561158,0,3488,9,1.8,0,2,184730.0908,2356432.162,17,9,2,LES,0,1,1,1,1,1,1,1,1
100,TLMO,194,0.018,0.119570344,0,515,1,0.12,0,3,165298.8077,2357562.027,13,1,3,LES,0,1,1,1,1,1,1,1,1
101,TLMO,195,0.003,0.449640292,0,3489,9,0.45,0,2,182645.0908,2356402.162,16,9,2,LES,0,1,1,1,1,1,1,1,1
102,TLMO,196,0.721,0.67768317,0,516,1,0.68,0,3,166325.7516,2358276.442,10,1,3,LES,0,1,1,1,1,1,1,1,1
103,TLMO,197,0.468,0.117533898,0,517,1,0.12,0,3,165885.2798,2357636.348,13,1,3,LES,0,1,1,1,1,1,1,1,1
104,TLMO,198,0.022,0.706554903,0,518,1,0.71,0,3,167720.2838,2356416.289,10,1,3,LES,0,1,1,1,1,1,1,1,1
105,TLMO,199,0.003,0.154233717,0,519,1,0.15,0,3,167624.7082,2356410.117,13,1,3,LES,0,1,1,1,1,1,1,1,1
106,TLMO,200,0.016,1.822323463,0,520,1,1.82,0,3,174108.6013,2356346.084,26,1,3,LES,0,1,1,1,1,1,1,1,1
107,TLMO,204,1.777,1.187217602,0,3492,9,1.19,0,2,191184.896,2357742.216,5,9,2,LES,0,1,1,1,1,1,1,1,1
108,TLMO,205,0.012,1.798561154,0,522,1,1.8,0,3,174185.0908,2356222.162,26,1,3,LES,0,1,1,1,1,1,1,1,1
109,TLMO,209,6.03,2.613513381,0,3494,9,2.61,0,2,187440.5997,2357216.13,20,9,2,LES,0,1,1,1,1,1,1,1,1
110,TLMO,210,24.338,7.176548156,0,3495,9,7.18,0,2,187643.7782,2356790.345,20,9,2,LES,0,1,1,1,1,1,1,1,1
111,TLMO,211,0.006,1.404823232,0,3496,9,1.4,0,2,189464.1416,2357232.809,14,9,2,LES,0,1,1,1,1,1,1,1,1
112,TLMO,212,12.198,2.613243777,0,3497,9,2.61,0,2,188970.1009,2356839.624,14,9,2,LES,0,1,1,1,1,1,1,1,1
113,TLMO,213,5.656,7.176408192,0,3498,9,7.18,0,2,188683.364,2356292.809,20,9,2,LES,0,1,1,1,1,1,1,1,1
114,TLMO,217,4.386,2.613488005,0,3499,9,2.61,0,2,186326.5647,2356484.755,14,9,2,LES,0,1,1,1,1,1,1,1,1
115,TLMO,218,3.123,1.544310282,0,3500,9,1.54,0,2,185540.2859,2356413.171,17,9,2,LES,0,1,1,1,1,1,1,1,1
116,TLMO,219,0.219,2.365419511,0,3501,9,2.37,0,2,186575.2212,2356114.823,18,9,2,LES,0,1,1,1,1,1,1,1,1
117,TLMO,220,0.059,1.550265385,0,3502,9,1.55,0,2,185165.6555,2356046.483,17,9,2,LES,0,1,1,1,1,1,1,1,1
118,TLMO,224,0.169,2.090523373,0,3504,9,2.09,0,2,179239.4938,2356029.03,15,1,2,LES,0,1,1,1,1,1,1,1,1
119,TLMO,225,0.006,0.397377311,0,3505,9,0.4,0,2,181774.8334,2355987.634,16,9,2,LES,0,1,1,1,1,1,1,1,1
120,TLMO,226,0.398,0.396923543,0,3506,9,0.4,0,2,182306.6099,2356274.685,16,9,2,LES,0,1,1,1,1,1,1,1,1
121,TLMO,227,0.216,0.923420246,0,3507,9,0.92,0,2,182335.8003,2356026.57,19,9,2,LES,0,1,1,1,1,1,1,1,1
122,TLMO,228,0.6,7.182618064,0,3508,9,7.18,0,2,190466.1278,2356050.218,20,9,2,LES,0,1,1,1,1,1,1,1,1
123,TLMO,229,1.044,2.091966368,0,3509,9,2.09,0,2,181372.9404,2356175.863,15,1,2,LES,0,1,1,1,1,1,1,1,1
124,TLMO,230,0.041,0.404255529,0,3510,9,0.4,0,2,181644.0045,2356092.975,16,9,2,LES,0,1,1,1,1,1,1,1,1
125,TLMO,231,0.2,0.925973082,0,3511,9,0.93,0,2,181453.6201,2355983.305,19,9,2,LES,0,1,1,1,1,1,1,1,1
126,TLMO,232,0.148,0.397200275,0,3512,9,0.4,0,2,182785.6256,2356275.349,16,9,2,LES,0,1,1,1,1,1,1,1,1
127,TLMO,233,0.017,7.443082321,0,3513,9,7.44,0,2,189169.4756,2355891.547,20,9,2,LES,0,1,1,1,1,1,1,1,1
128,TLMO,235,0.042,0.924580637,0,3515,9,0.92,0,2,181285.1573,2355847.374,19,9,2,LES,0,1,1,1,1,1,1,1,1
129,TLMO,237,0.56,7.182065357,0,3517,9,7.18,0,2,190475.9432,2355862.762,20,9,2,LES,0,1,1,1,1,1,1,1,1
130,TLMO,238,0.004,1.751313492,0,3518,9,1.75,0,2,184820.7061,2355712.777,17,9,2,LES,0,1,1,1,1,1,1,1,1
131,TLMO,242,0.053,0.397981558,0,3521,9,0.4,0,2,181839.5391,2355819.343,16,9,2,LES,0,1,1,1,1,1,1,1,1
132,TLMO,243,0.071,0.929027531,0,3522,9,0.93,0,2,181839.2069,2355665.955,19,9,2,LES,0,1,1,1,1,1,1,1,1
133,TLMO,245,0.924,0.984511,0,3523,9,0.98,0,2,180051.7843,2358050.066,8,1,2,LES,0,1,1,1,1,1,1,1,1
134,TLMO,246,18.017,2.09019086,0,3524,9,2.09,0,2,179450.9321,2356755.729,15,1,2,LES,0,1,1,1,1,1,1,1,1
135,TLMO,252,0.169,0.117980426,0,534,1,0.12,0,3,166413.9585,2355877.382,13,1,3,LES,0,1,1,1,1,1,1,1,1
136,TLMO,253,21.714,7.176611267,0,3528,9,7.18,0,2,189651.2008,2355749.098,20,9,2,LES,0,1,1,1,1,1,1,1,1
137,TLMO,254,0.925,0.677539032,0,535,1,0.68,0,3,166998.9819,2357360.552,10,1,3,LES,0,1,1,1,1,1,1,1,1
138,TLMO,255,0.31,0.117380714,0,536,1,0.12,0,3,166988.7525,2356234.57,13,1,3,LES,0,1,1,1,1,1,1,1,1
139,TLMO,256,5.5,6.347301243,0,537,1,6.35,0,3,167329.5086,2355521.446,24,1,3,LES,0,1,1,1,1,1,1,1,1
140,TLMO,257,1.351,2.358107719,0,3529,9,2.36,0,2,187162.5768,2356114.2,18,9,2,LES,0,1,1,1,1,1,1,1,1
141,TLMO,258,28.983,7.176479036,0,3530,9,7.18,0,2,188158.1276,2355766.087,20,9,2,LES,0,1,1,1,1,1,1,1,1
142,TLMO,262,0.11,0.624117016,0,538,1,0.62,0,3,175862.0395,2355378.908,43,1,3,LES,0,1,1,1,1,1,1,1,1
143,TLMO,266,0.544,1.545472108,0,3533,9,1.55,0,2,184289.2437,2355361.93,17,9,2,LES,0,1,1,1,1,1,1,1,1
144,TLMO,269,0.08,0.623315101,0,541,1,0.62,0,3,176106.0611,2355155.797,43,1,3,LES,0,1,1,1,1,1,1,1,1
145,TLMO,271,4.686,1.544484516,0,3536,9,1.54,0,2,185235.8503,2355686.163,17,9,2,LES,0,1,1,1,1,1,1,1,1
146,TLMO,272,0.62,2.35806897,0,3537,9,2.36,0,2,186239.3529,2355653.498,18,9,2,LES,0,1,1,1,1,1,1,1,1
147,TLMO,273,1.651,1.979787224,0,3538,9,1.98,0,2,185863.3872,2355453.773,23,9,2,LES,0,1,1,1,1,1,1,1,1
148,TLMO,274,0.79,0.405608487,0,542,1,0.41,0,3,177469.8128,2356291.943,4,1,3,LES,0,1,1,1,1,1,1,1,1
149,TLMO,275,0.006,0.052236597,0,543,1,0.05,0,3,177128.3316,2357077.551,9,1,3,LES,0,1,1,1,1,1,1,1,1
150,TLMO,277,2.959,3.728672598,0,3540,9,3.73,0,2,177764.0523,2355504.183,31,1,2,LES,0,1,1,1,1,1,1,1,1
151,TLMO,278,1.221,0.619693148,0,544,1,0.62,0,3,177278.7603,2355782.776,43,1,3,LES,0,1,1,1,1,1,1,1,1
152,TLMO,282,0.902,1.733878486,0,546,1,1.73,0,3,174937.7936,2355370.623,26,1,3,LES,0,1,1,1,1,1,1,1,1
153,TLMO,283,0.886,0.619761147,0,547,1,0.62,0,3,175164.8192,2355557.322,43,1,3,LES,0,1,1,1,1,1,1,1,1
154,TLMO,285,0.036,0.397096782,0,3544,9,0.4,0,2,182761.5383,2355829.678,16,9,2,LES,0,1,1,1,1,1,1,1,1
155,TLMO,286,1.967,0.92371313,0,3545,9,0.92,0,2,182405.9773,2355477.592,19,9,2,LES,0,1,1,1,1,1,1,1,1
156,TLMO,292,0.011,0.052786909,0,553,1,0.05,0,3,173300.1925,2357975.508,9,1,3,LES,0,1,1,1,1,1,1,1,1
157,TLMO,293,0.004,1.692047384,0,554,1,1.69,0,3,171494.6302,2356401.63,11,1,3,LES,0,1,1,1,1,1,1,1,1
158,TLMO,294,30.998,2.05546929,0,555,1,2.06,0,3,172435.1326,2356294.812,22,1,3,LES,0,1,1,1,1,1,1,1,1
159,TLMO,295,0.085,6.398675099,0,556,1,6.4,0,3,171537.6295,2355374.774,24,1,3,LES,0,1,1,1,1,1,1,1,1
160,TLMO,296,0.068,1.747667635,0,557,1,1.75,0,3,173043.8104,2355371.993,26,1,3,LES,0,1,1,1,1,1,1,1,1
161,TLMO,297,2.378,6.347545465,0,558,1,6.35,0,3,168301.393,2354971.652,24,1,3,LES,0,1,1,1,1,1,1,1,1
162,TLMO,298,0.195,4.524886878,0,559,1,4.52,0,3,168194.129,2354897.817,24,1,3,LES,0,1,1,1,1,1,1,1,1
163,TLMO,299,2.714,3.834394832,0,560,1,3.83,0,3,168889.1738,2358700.401,1,1,3,LES,0,1,1,1,1,1,1,1,1
164,TLMO,300,5.932,1.252242405,0,561,1,1.25,0,3,169124.9263,2357927.195,2,1,3,LES,0,1,1,1,1,1,1,1,1
165,TLMO,301,0.271,0.677306968,0,562,1,0.68,0,3,168198.5618,2356979.18,10,1,3,LES,0,1,1,1,1,1,1,1,1
166,TLMO,302,8.068,1.70383007,0,563,1,1.7,0,3,169280.0687,2356823.774,11,1,3,LES,0,1,1,1,1,1,1,1,1
167,TLMO,303,24.493,6.346903782,0,564,1,6.35,0,3,169426.9228,2355565.536,24,1,3,LES,0,1,1,1,1,1,1,1,1
168,TLMO,304,6.281,1.704005947,0,565,1,1.7,0,3,170622.5562,2356480.631,11,1,3,LES,0,1,1,1,1,1,1,1,1
169,TLMO,305,4.193,2.055697488,0,566,1,2.06,0,3,171214.0957,2355564.149,22,1,3,LES,0,1,1,1,1,1,1,1,1
170,TLMO,306,31.694,6.346860513,0,567,1,6.35,0,3,170557.6324,2355501.753,24,1,3,LES,0,1,1,1,1,1,1,1,1
