FID_1,MOs,MOsID,Subbasin,SED_BCR,Duck_BCR,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed,Subbasin
470,TLMO,103,1,0.00,0.00,3,176782.28320000000,2357992.16180000000,4,1,3,LES,
471,TLMO,104,1,0.00,0.00,3,176780.09080000000,2357932.16180000000,4,1,3,LES,
472,TLMO,112,1,0.44,0.00,3,176728.70073300000,2357824.68050000000,4,1,3,LES,
478,TLMO,127,1,0.41,0.00,3,177018.70362900000,2357744.79662000000,4,1,3,LES,
495,TLMO,153,1,0.45,0.00,3,176997.50221000000,2357381.84568000000,4,1,3,LES,
504,TLMO,167,1,0.41,0.00,3,177762.33010000000,2357241.86144000000,4,1,3,LES,
505,TLMO,178,1,0.00,0.00,3,177975.01534200000,2356680.59053000000,4,1,3,LES,
506,TLMO,180,1,0.00,0.00,3,177547.43806500000,2356652.33296000000,4,1,3,LES,
542,TLMO,274,1,0.41,0.00,3,177469.81279600000,2356291.94272000000,4,1,3,LES,
2459,AFMO,27,9,0.06,0.00,2,188569.89094300000,2358355.09277000000,5,9,2,LES,
2466,AFMO,38,9,0.00,0.00,2,189010.88026100000,2357592.63797000000,5,9,2,LES,
2467,AFMO,39,9,0.00,0.00,2,189275.51516300000,2357551.48728000000,5,9,2,LES,
2485,AFMO,81,9,0.00,0.00,2,191943.55571400000,2356193.42841000000,5,9,2,LES,
2873,WCMO,51,9,3.50,0.00,2,186972.21486400000,2358768.97839000000,5,9,2,LES,
2881,WCMO,67,9,0.78,0.00,2,186814.81379700000,2358561.33627000000,5,9,2,LES,
2882,WCMO,68,9,3.50,0.00,2,187160.11456200000,2358302.20858000000,5,9,2,LES,
2885,WCMO,77,9,1.45,0.00,2,188859.41756600000,2358259.75844000000,5,9,2,LES,
2886,WCMO,78,9,0.91,0.00,2,189276.83305300000,2357713.24778000000,5,9,2,LES,
2896,WCMO,115,9,0.00,0.00,2,190510.32477500000,2357948.74383000000,5,9,2,LES,
2897,WCMO,116,9,3.50,0.00,2,190348.08786000000,2357937.84492000000,5,9,2,LES,
2898,WCMO,117,9,1.32,0.00,2,191663.51299300000,2357772.28265000000,5,9,2,LES,
2899,WCMO,118,9,0.70,0.00,2,191188.43014300000,2357720.69512000000,5,9,2,LES,
3420,TLMO,46,9,0.00,0.00,2,186991.10498600000,2358881.67158000000,5,9,2,LES,
3425,TLMO,63,9,0.00,0.00,2,187447.37737700000,2358712.16180000000,5,9,2,LES,
3426,TLMO,65,9,0.00,0.00,2,186973.98655500000,2358745.41435000000,5,9,2,LES,
3427,TLMO,66,9,0.00,0.00,2,187430.09080000000,2358682.16180000000,5,9,2,LES,
3428,TLMO,69,9,0.00,0.00,2,187459.54553800000,2358647.40123000000,5,9,2,LES,
3429,TLMO,70,9,0.00,0.00,2,187432.28320000000,2358622.16180000000,5,9,2,LES,
