lambda0.0,lambda0.1,lambda0.2,lambda0.3,lambda0.4,lambda0.5,lambda0.6,lambda0.7,lambda0.8,lambda0.9,lambda1.0
2.260869565217391,2.4391304347826086,2.617391304347826,2.7956521739130435,2.973913043478261,3.1521739130434785,3.330434782608696,3.508695652173913,3.686956521739131,3.865217391304348,4.043478260869565
0.11320754716981132,0.24716981132075472,0.38113207547169814,0.5150943396226415,0.6490566037735849,0.7830188679245282,0.9169811320754716,1.050943396226415,1.1849056603773584,1.318867924528302,1.4528301886792452
0.963855421686747,0.8903614457831326,0.8168674698795181,0.7433734939759036,0.6698795180722892,0.5963855421686747,0.5228915662650603,0.4493975903614458,0.37590361445783127,0.3024096385542169,0.2289156626506024
0.4473684210526316,0.4710526315789474,0.49473684210526314,0.5184210526315789,0.5421052631578948,0.5657894736842105,0.5894736842105264,0.6131578947368421,0.6368421052631579,0.6605263157894737,0.6842105263157895
1.8076923076923077,1.7115384615384615,1.6153846153846156,1.5192307692307692,1.423076923076923,1.3269230769230769,1.2307692307692308,1.1346153846153846,1.0384615384615383,0.9423076923076923,0.8461538461538461
0.8275862068965517,1.0275862068965518,1.2275862068965517,1.4275862068965517,1.6275862068965519,1.8275862068965516,2.027586206896552,2.2275862068965515,2.4275862068965517,2.627586206896552,2.8275862068965516
1.5,1.4937500000000001,1.4875000000000003,1.4812499999999997,1.475,1.46875,1.4625,1.4562499999999998,1.4500000000000002,1.4437499999999999,1.4375
0.140625,0.253125,0.365625,0.478125,0.590625,0.703125,0.815625,0.928125,1.040625,1.1531250000000002,1.265625
0.13157894736842105,0.17894736842105263,0.2263157894736842,0.27368421052631575,0.32105263157894737,0.3684210526315789,0.4157894736842105,0.4631578947368421,0.5105263157894737,0.5578947368421053,0.6052631578947368
4.0,6.9,9.8,12.7,15.600000000000001,18.5,21.400000000000002,24.299999999999997,27.200000000000003,30.099999999999998,33.0
0.7790697674418605,0.7046511627906977,0.630232558139535,0.555813953488372,0.4813953488372093,0.4069767441860465,0.3325581395348838,0.258139534883721,0.18372093023255812,0.10930232558139534,0.03488372093023256
3.193548387096774,3.170967741935484,3.1483870967741936,3.125806451612903,3.103225806451613,3.0806451612903225,3.058064516129032,3.0354838709677416,3.012903225806452,2.990322580645161,2.967741935483871
0.15730337078651685,0.21797752808988763,0.27865168539325846,0.3393258426966292,0.4,0.4606741573033708,0.5213483146067416,0.5820224719101122,0.6426966292134831,0.7033707865168539,0.7640449438202247
0.9302325581395349,0.9348837209302326,0.9395348837209302,0.9441860465116279,0.9488372093023256,0.9534883720930232,0.9581395348837208,0.9627906976744186,0.9674418604651163,0.9720930232558139,0.9767441860465116
0.5670103092783505,0.5618556701030928,0.5567010309278351,0.5515463917525772,0.5463917525773195,0.5412371134020618,0.5360824742268041,0.5309278350515464,0.5257731958762886,0.5206185567010309,0.5154639175257731
0.21428571428571427,0.7,1.1857142857142857,1.6714285714285713,2.157142857142857,2.642857142857143,3.1285714285714286,3.614285714285714,4.1,4.585714285714285,5.071428571428571
0.016129032258064516,0.09677419354838711,0.17741935483870971,0.25806451612903225,0.3387096774193549,0.41935483870967744,0.5,0.5806451612903226,0.6612903225806452,0.7419354838709677,0.8225806451612904
1.5,1.4441176470588237,1.3882352941176472,1.3323529411764703,1.276470588235294,1.2205882352941178,1.1647058823529413,1.1088235294117648,1.052941176470588,0.9970588235294118,0.9411764705882353
0.9726027397260274,0.963013698630137,0.9534246575342467,0.9438356164383561,0.9342465753424657,0.9246575342465753,0.915068493150685,0.9054794520547944,0.8958904109589041,0.8863013698630137,0.8767123287671232
0.5079365079365079,0.6,0.692063492063492,0.784126984126984,0.8761904761904762,0.9682539682539683,1.0603174603174603,1.1523809523809523,1.2444444444444445,1.3365079365079366,1.4285714285714286
3.4285714285714284,3.1714285714285713,2.914285714285714,2.657142857142857,2.4,2.142857142857143,1.8857142857142857,1.6285714285714286,1.3714285714285712,1.114285714285714,0.8571428571428571
0.5,0.46555555555555556,0.4311111111111111,0.39666666666666667,0.3622222222222222,0.3277777777777778,0.29333333333333333,0.2588888888888889,0.22444444444444445,0.19,0.15555555555555556
