ID,Label,Cost,NitRed,SedRed
146,Sub025 ISO-P-S,135164.4972,733.878,93.8321
147,Sub025 ISO-P-M,400743.0961,920.1991,118.2406
148,Sub025 ISO-P-L,666210.816,920.1991,118.2406
149,Sub025 ISO-M-S,101227.5139,485.3591,66.1362
150,Sub025 ISO-M-M,298932.1462,610.1146,81.4989
151,Sub025 ISO-M-L,496525.8995,661.3465,88.6238
152,Sub026 ISO-P-S,853491.4761,902.3963,139.7348
153,Sub026 ISO-P-M,2530963.837,2554.6815,402.6134
154,Sub026 ISO-P-L,4207747.391,4260.0944,665.1004
155,Sub026 ISO-M-S,642666.8309,902.3963,139.7348
156,Sub026 ISO-M-M,1898489.901,2554.6815,402.6134
157,Sub026 ISO-M-L,3153624.165,4260.0944,665.1004
158,Sub027 ISO-P-S,203896.8503,3334.9061,645.6783
159,Sub027 ISO-P-M,604831.0761,4616.7105,946.5675
160,Sub027 ISO-P-L,1005605.195,5904.8803,1240.77
161,Sub027 ISO-M-S,154892.5346,2940.3286,579.646
162,Sub027 ISO-M-M,457818.1289,3756.3316,797.6619
163,Sub027 ISO-M-L,760583.6162,4546.8367,997.42
164,Sub028 ISO-P-S,319087.9648,5515.72,796.8834
165,Sub028 ISO-P-M,946529.173,5515.72,796.8834
166,Sub028 ISO-P-L,1573719.822,5515.72,796.8834
167,Sub028 ISO-M-S,242398.7596,4637.3435,694.917
168,Sub028 ISO-M-M,716461.5577,4730.1369,708.896
169,Sub028 ISO-M-L,1190273.797,4834.437,722.3478
170,Sub029 ISO-P-S,233255.4965,5195.0035,1159.5536
171,Sub029 ISO-P-M,691919.3343,6768.3497,1603.9842
172,Sub029 ISO-P-L,1150400.012,7168.8809,1716.7303
173,Sub029 ISO-M-S,177195.1602,4530.6126,1033.2295
174,Sub029 ISO-M-M,523738.3254,5396.3541,1337.3196
175,Sub029 ISO-M-L,870098.3303,6089.3296,1510.1284
176,Sub030 ISO-P-S,285955.6048,5879.5787,1610.4666
177,Sub030 ISO-P-M,848241.2644,-58380.3079,-18945.0704
178,Sub030 ISO-P-L,1410302.254,9327.518,2772.852
179,Sub030 ISO-M-S,217190.3566,4171.9068,1211.8574
180,Sub030 ISO-M-M,641945.5197,5131.9124,1705.2074
181,Sub030 ISO-M-L,1066476.013,6022.7694,2155.9929
182,Sub031 ISO-P-S,258468.6392,4094.9671,811.4194
183,Sub031 ISO-P-M,766476.1358,5422.4238,1115.5855
184,Sub031 ISO-P-L,1274275.202,5885.1801,1214.0599
185,Sub031 ISO-M-S,194673.9816,3721.5416,741.156
186,Sub031 ISO-M-M,575092.163,4660.7979,968.7012
187,Sub031 ISO-M-L,955301.9145,5221.3001,1090.6279
188,Sub032 ISO-P-S,191212.9949,6089868.132,206489.6806
189,Sub032 ISO-P-M,567019.0167,2148.6168,443.196
190,Sub032 ISO-P-L,942670.522,3002.2051,629.5931
191,Sub032 ISO-M-S,143919.7249,1141.605,230.7019
192,Sub032 ISO-M-M,425139.2067,1700.2614,379.6579
193,Sub032 ISO-M-L,706204.1719,2206.8644,512.3376
194,Sub033 ISO-P-S,238631.8517,4139.9564,852.3328
195,Sub033 ISO-P-M,707702.1729,6128.2596,1338.7797
196,Sub033 ISO-P-L,1176581.252,7084.1613,1626.9326
197,Sub033 ISO-M-S,180098.0576,3019.8679,668.8207
198,Sub033 ISO-M-M,532100.7907,3947.8929,965.4171
199,Sub033 ISO-M-L,883912.282,4859.6272,1240.2642
200,Sub034 ISO-P-S,226825.8722,2641.2614,429.997
201,Sub034 ISO-P-M,672638.1047,3302.2587,554.8157
202,Sub034 ISO-P-L,1118267.355,3302.2587,554.8157
203,Sub034 ISO-M-S,170820.1387,1464.4006,1039.0044
204,Sub034 ISO-M-M,504620.9042,1812.4014,335.7835
205,Sub034 ISO-M-L,838238.6877,1968.4515,359.7587
206,Sub035 ISO-P-S,270623.6416,2269.3296,381.4149
207,Sub035 ISO-P-M,802442.935,3215.8526,559.4991
208,Sub035 ISO-P-L,1334042.17,3811.2657,663.4734
209,Sub035 ISO-M-S,203269.7701,2114.4432,357.0471
210,Sub035 ISO-M-M,600381.3205,2899.9247,511.9098
211,Sub035 ISO-M-L,997272.8122,2559.5815,295.4928
212,Sub036 ISO-P-S,242857.1492,1628.767,323.6306
213,Sub036 ISO-P-M,720123.9133,2815.8286,618.7738
214,Sub036 ISO-P-L,1197193.504,3857.6436,902.5097
215,Sub036 ISO-M-S,182507.684,1409.1833,286.8461
216,Sub036 ISO-M-M,539075.5178,2358.9228,545.3288
217,Sub036 ISO-M-L,895446.1777,3269.8136,792.9218
218,Sub037 ISO-P-S,174533.1508,1247.4562,253.0261
219,Sub037 ISO-P-M,517516.8447,2293.1537,501.594
220,Sub037 ISO-P-L,860358.5644,3436.4165,765.1678
221,Sub037 ISO-M-S,131078.7987,1119.6555,229.536
222,Sub037 ISO-M-M,387153.7883,1977.4726,458.4918
223,Sub037 ISO-M-L,643086.8038,2769.374,670.3176
224,Sub038 ISO-P-S,228305.7609,1003.0157,240.5413
225,Sub038 ISO-P-M,676960.6602,1649.5215,412.7971
226,Sub038 ISO-P-L,1125429.844,2296.8294,584.8596
227,Sub038 ISO-M-S,171463.3853,757.8125,188.7605
228,Sub038 ISO-M-M,506433.5332,1188.1128,313.5576
