"MOs","MOsID","Subbasin","SED_BCR","Duck_BCR","Zone","coords_x1","coords_x2","coords.x1","coords.x2","coords.x3","SED_BCR_DIST"
"WCMO",4911,"18",1.231244655,0.000543911,1,190023.462884235,2337488.98053209,190023.462884235,2337488.98053209,0,0.221459000000035
"WCMO",16426,"27",1.230577772,0.000379199,1,197949.950722101,2307330.93839194,197949.950722101,2307330.93839194,0,0.666883000000063
"WCMO",10842,"20",1.230036424,0.000616602,2,194723.50522376,2323651.47667682,194723.50522376,2323651.47667683,0,0.541348000000053
"WCMO",6878,"17",1.229563449,0.000615759,2,191945.663894057,2331918.70222963,191945.663894057,2331918.70222963,0,0.472974999999876
"WCMO",4494,"18",1.228804103,0.000557598,1,204176.037289535,2337169.54594514,204176.037289535,2337169.54594514,0,0.759345999999939
"WCMO",15563,"27",1.228217179,0.000493457,1,202038.222957918,2309371.70999677,202038.222957918,2309371.70999677,0,0.586924000000044
"WCMO",3430,"18",1.227941545,0.000532978,1,197695.614980209,2340272.55538877,197695.614980209,2340272.55538877,0,0.27563400000008
"WCMO",12183,"23",1.22769083,0.00051544,2,148040.631837937,2317397.2807652,148040.631837937,2317397.2807652,0,0.250714999999957
"WCMO",4209,"18",1.227592741,0.000239845,1,191388.991565591,2340694.88638322,191388.991565591,2340694.88638322,0,0.0980889999999679
"WCMO",13339,"27",1.227337746,0.000558565,1,196233.052444153,2315950.41108325,196233.052444153,2315950.41108325,0,0.254995000000147
"WCMO",6623,"27",1.227292041,0.00029309,1,164994.025397009,2333076.41665708,164994.025397009,2333076.41665708,0,0.045705000000007
"WCMO",8791,"24",1.226808462,0.000624425,1,198758.918630418,2327341.81872526,198758.918630418,2327341.81872526,0,0.483578999999956
"WCMO",7415,"26",1.226760187,0.000563136,1,205926.45470298,2332190.72063479,205926.45470298,2332190.72063479,0,0.048274999999931
"WCMO",9947,"23",1.226082255,0.000507237,2,148772.757254037,2323775.40224546,148772.757254037,2323775.40224546,0,0.677932000000103
"WCMO",7114,"20",1.225955644,0.000647457,2,178156.809350142,2330982.12484527,178156.809350142,2330982.12484527,0,0.126610999999999
"WCMO",14001,"27",1.224267558,0.000563952,1,194489.356722225,2314032.84559441,194489.356722225,2314032.84559441,0,1.68808599999992
"WCMO",3938,"18",1.224099235,0.000511641,1,196066.186370804,2338389.04775789,196066.186370804,2338389.04775789,0,0.168323000000026
"WCMO",4207,"18",1.223664668,0.000582437,1,190409.512604253,2340639.78408957,190409.512604253,2340639.78408957,0,0.434566999999886
"WCMO",22,"1",1.223292342,0.000471108,3,178908.194976682,2359362.63346287,178908.194976682,2359362.63346287,0,0.372326000000145
"WCMO",11563,"30",1.223150563,0.000643677,1,159803.937790799,2319903.13600252,159803.937790799,2319903.13600252,0,0.141779000000009
"WCMO",1016,"18",1.222815082,0.000349557,1,192274.680055663,2348625.50519538,192274.680055663,2348625.50519539,0,0.335480999999804
"WCMO",1498,"5",1.221992506,0.000722516,3,168405.230222906,2346615.95107151,168405.230222906,2346615.95107151,0,0.822576000000019
"WCMO",18129,"29",1.221919233,0.000619814,2,162652.309719682,2302500.78604307,162652.309719682,2302500.78604307,0,0.0732730000001514
"WCMO",7891,"19",1.221706496,0.000683966,3,152222.884661697,2328685.11418736,152222.884661697,2328685.11418736,0,0.212737000000018
"WCMO",1294,"9",1.221689191,0.000451684,2,180899.815398011,2347458.1633843,180899.815398011,2347458.1633843,0,0.0173049999998565
"WCMO",17816,"30",1.22155583,0.000607237,1,175159.215427751,2304734.11468797,175159.215427751,2304734.11468797,0,0.133361000000054
"WCMO",349,"9",1.221538329,0.000560475,2,186695.237489064,2353427.45857032,186695.237489064,2353427.45857032,0,0.0175010000000864
"WCMO",15315,"28",1.220929724,0.000598965,1,174410.941185744,2310380.47117767,174410.941185744,2310380.47117767,0,0.608604999999818
"WCMO",11105,"24",1.220689122,0.000613783,1,203834.940142482,2321470.38824416,203834.940142482,2321470.38824416,0,0.24060200000009
"WCMO",9176,"25",1.220224197,0.000773565,2,166063.805893582,2326756.17912196,166063.805893582,2326756.17912196,0,0.464924999999949
"WCMO",5738,"17",1.220110225,0.000637484,2,178975.617073395,2335579.70740386,178975.617073395,2335579.70740386,0,0.113972000000073
"WCMO",15925,"30",1.220026797,0.000664194,1,167761.380909333,2308560.4022004,167761.380909333,2308560.4022004,0,0.083427999999941
"WCMO",4241,"18",1.219833134,0.000494738,1,190503.825991826,2338619.37074697,190503.825991826,2338619.37074697,0,0.193663000000122
"WCMO",8468,"20",1.219779723,0.000598138,2,179029.460234821,2328619.32735344,179029.460234821,2328619.32735344,0,0.0534109999998922
"WCMO",11124,"28",1.219686652,0.000629829,1,169193.196712936,2320107.49964768,169193.196712936,2320107.49964768,0,0.0930710000000001
"WCMO",17235,"30",1.219411205,0.000489939,1,169565.396614608,2305920.88451546,169565.396614608,2305920.88451546,0,0.275446999999929
"WCMO",102,"9",1.218656924,0.000277804,2,183457.632580848,2357110.36030499,183457.632580848,2357110.36030498,0,0.754281000000079
"WCMO",3401,"11",1.217263356,0.000143815,3,163430.613687697,2342089.63510727,163430.613687697,2342089.63510727,0,1.39356800000012
"WCMO",3246,"18",1.216781977,0.000685638,1,176930.490037197,2340712.30625792,176930.490037197,2340712.30625792,0,0.481379000000004
"WCMO",11625,"24",1.216629809,0.000443474,1,202548.334880968,2319070.98879513,202548.334880969,2319070.98879513,0,0.152167999999842
"WCMO",5621,"19",1.216472712,0.00034402,3,151491.250365193,2335168.52019183,151491.250365193,2335168.52019183,0,0.157096999999995
"WCMO",9369,"24",1.216171369,0.000623144,1,199440.689439957,2325634.08405593,199440.689439957,2325634.08405593,0,0.301343000000065
"WCMO",2013,"18",1.21599767,0.000353558,1,194039.394163716,2344499.89702207,194039.394163716,2344499.89702207,0,0.173699000000083
"WCMO",9405,"24",1.215052431,0.000627714,1,196418.805126766,2325914.03628589,196418.805126766,2325914.03628589,0,0.945238999999987
"WCMO",1693,"18",1.214222098,0.000529475,1,191223.03294151,2345746.15008517,191223.03294151,2345746.15008517,0,0.830332999999905
"WCMO",10898,"20",1.213586582,0.000394027,2,191466.554497437,2322808.77921565,191466.554497437,2322808.77921565,0,0.635516000000003
"WCMO",3975,"18",1.213552701,0.000536617,1,198312.559667368,2338443.77371916,198312.559667368,2338443.77371916,0,0.0338810000000134
"WCMO",12040,"26",1.213064412,0.000574033,1,208006.374035208,2318984.49600327,208006.374035208,2318984.49600327,0,0.488288999999975
