Type,ID,SedRed,Cost,SED_bcr,Duck,Site_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth
WCMO,1,4.838,6886.033,0.000702582,3.706,1,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,7010.53125,63094.78125,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.26,0.26,0.1744701,0.2187773,1524.002319,1532.66394,86,90,8002,1064.035045,GBER_CONUS_wet_poly,411.3773193
WCMO,2,18.195,19471.552,0.00093444,7.198,2,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,26385.01367,237465.123,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,clay loam,5,Cordova,0.28,0.28,0.0837906,0.5426045,14196.16113,14306.5498,114,86,8002,832.8994491,GBER_CONUS_wet_poly,158.494812
WCMO,3,5.752,7242.451,0.000794206,4.037,3,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,8335.366211,75018.2959,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,0.1890309,0.3974112,3283.410889,3310.227295,109,87,10436,671.0262971,GBER_CONUS_wet_poly,218.9168549
WCMO,4,3.344,11303.304,0.000295843,3.082,4,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4844.482422,43600.3418,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,0.3738527,0.4529385,2274.657227,2192.706543,109,87,8002,866.4704268,GBER_CONUS_wet_poly,192.0790558
WCMO,5,4.281,6188.037,0.000691819,3.595,5,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,6189.894043,55709.04639,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,clay loam,5,Cordova,0.28,0.28,0.6312099,0.5667427,3488.867676,3505.698975,211,84,10320,587.5633646,GBER_CONUS_wet_poly,148.2154236
WCMO,6,3.013,6187.972,0.000486912,2.921,6,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,4415.786133,39742.0752,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,0.0646143,0.3582547,1683.080322,1580.849121,109,87,8072,539.9666385,GBER_CONUS_wet_poly,242.8440094
WCMO,7,2.691,16048.75,0.000167677,2.762,7,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3898.287842,35084.59058,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.5,clay loam,5,Cordova,0.26,0.26,1.429093,0.2398836,913.2369995,934.4751587,239,92,10436,590.8659291,GBER_CONUS_wet_poly,383.5192566
WCMO,8,5.111,7563.484,0.000675747,3.815,8,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,7406.232422,66656.0918,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,clay loam,5,Cordova,0.28,0.28,0.2050844,0.3160673,2304.130371,2339.220459,114,86,8002,658.3193503,GBER_CONUS_wet_poly,272.0939636
WCMO,9,8.053,8139.786,0.000989338,4.783,9,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,11670.83008,105037.4707,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,0.52891,0.4814174,5693.241699,5614.574219,109,87,5958,323.8943343,GBER_CONUS_wet_poly,180.7163696
WCMO,10,3.041,6185.117,0.000491664,2.942,10,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4405.172363,39646.55127,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.666666667,clay loam,5,Cordova,0.28,0.28,2.8132453,0.2861296,1251.53064,1259.561523,114,86,8002,418.7268345,GBER_CONUS_wet_poly,300.5631409
