GeneID,MOs,MOsID,SED_B,SED_BCR,Duck_BCR
569,TLMO,1190,0.028,8.393285378,0
570,TLMO,1191,7.053,8.240053929,0
571,TLMO,1192,0.043,2.587088623,0
572,TLMO,1193,0.17,2.351997122,0
573,TLMO,1194,1.805,4.008714791,0
574,TLMO,1195,43.217,2.570795932,0
575,TLMO,1196,4.306,7.189571948,0
576,TLMO,1200,0.01,4.681647944,0
577,TLMO,1201,0.984,0.360709366,0
578,TLMO,1202,42.362,21.86676357,0
579,TLMO,1203,28.738,7.548115361,0
580,TLMO,1208,0.03,4.496402878,0
581,TLMO,1210,1.609,6.329089028,0
582,TLMO,1211,0.073,21.88249401,0
583,TLMO,1217,2.507,5.069285629,0
584,TLMO,1218,24.621,6.48978375,0
585,TLMO,1221,0.053,4.389233956,0
586,TLMO,1224,16.277,5.067448717,0
587,TLMO,1225,4.637,6.490334482,0
588,TLMO,1226,5.426,5.12476624,0
589,TLMO,1227,1.034,6.077633837,0
590,TLMO,1228,30.011,2.570786575,0
591,TLMO,1233,0.698,1.100802261,0
592,TLMO,1237,0.559,6.327537807,0
593,TLMO,1238,15.011,5.067505411,0
594,TLMO,1239,1.725,5.711844876,0
595,TLMO,1240,9.829,5.124154793,0
596,TLMO,1245,0.274,4.372107867,0
597,TLMO,1249,0.046,5.110543273,0
598,TLMO,1250,13.227,5.710370624,0
599,TLMO,1252,0.004,0.022073228,0
600,TLMO,1253,12.516,5.124073319,0
601,TLMO,1254,0.276,7.208148342,0
602,TLMO,1255,1.782,5.662805663,0
603,TLMO,1260,4.044,5.710622266,0
604,TLMO,1261,0.281,7.777900798,0
605,TLMO,1262,16.13,6.327438054,0
606,TLMO,1263,0.01,0.021989331,0
607,TLMO,1264,0.213,5.139713335,0
608,TLMO,1265,0.073,21.88249401,0
609,TLMO,1270,0.213,5.798127178,0
610,TLMO,1271,1.692,9.426814049,0
611,TLMO,1272,8.035,12.120819,0
612,TLMO,1274,0.446,7.190069322,0
613,TLMO,1281,0.098,4.408258738,0
614,TLMO,1286,69.427,5.032045433,0
615,TLMO,1287,0.155,5.663755618,0
616,TLMO,1288,15.639,5.03204595,0
617,TLMO,1289,10.755,5.662377019,0
618,TLMO,1292,0.041,12.29016786,0
619,TLMO,1299,3.557,4.367284045,0
620,TLMO,1300,11.641,6.754098817,0
621,TLMO,1303,4.616,2.571021976,0
622,TLMO,1304,4.566,4.008455858,0
623,TLMO,1305,9.064,2.57079981,0
624,TLMO,1306,12.893,7.188949548,0
625,TLMO,1307,56.091,5.032074981,0
626,TLMO,1310,1.135,42.53007082,0
627,TLMO,1311,0.03,4.496402878,0
628,TLMO,1312,0.168,4.38218953,0
629,TLMO,1313,0.001,0.299760197,0
630,TLMO,1317,0.015,1.12410072,0
631,TLMO,1318,0.004,1.199040772,0
632,TLMO,1319,0.021,6.294964031,0
633,TLMO,1323,0.01,4.681647944,0
634,TLMO,1324,0.014,6.129597209,0
635,TLMO,1326,5.355,4.366584336,0
636,TLMO,1329,4.007,42.51413778,0
637,TLMO,1330,0.015,4.496402882,0
638,TLMO,1332,0.142,42.56594725,0
639,TLMO,1335,1.053,2.571692335,0
640,TLMO,1336,6.804,7.189212378,0
641,TLMO,1337,1.698,4.368564857,0
642,TLMO,1338,9.164,42.51469503,0
643,TLMO,1339,0.041,12.29016786,0
644,TLMO,1341,0.028,8.393285378,0
645,TLMO,1343,0.001,0.299760197,0
646,TLMO,1344,0.015,4.496402882,0
647,TLMO,1345,3.974,9.42642102,0
648,TLMO,1346,6.976,12.12146486,0
649,TLMO,1349,0.026,7.793764992,0
650,TLMO,1352,0.021,4.512247531,0
651,TLMO,1353,9.242,6.327138096,0
652,TLMO,1354,0.814,9.43275972,0
653,TLMO,1355,0.06,7.658922645,0
654,TLMO,1356,0.142,7.561235358,0
