Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB_LES30SB,area_m2
WCMO,15123,9.203,12249.882,4.561,15123,MAP,2,29,7483.196289
WCMO,15163,5.414,10725.059,3.28,15163,MAP,2,29,3777.692871
WCMO,15164,18.984,3138.68,6.835,15164,MAP,2,29,16353.10645
WCMO,15165,14.178,12228.983,5.757,15165,MAP,2,29,11613.41699
WCMO,15166,23.507,8936.638,7.665,15166,MAP,2,29,20510.61523
WCMO,15167,5.908,5832.448,3.531,15167,MAP,2,29,4337.208496
WCMO,15168,16.572,12713.095,6.362,15168,MAP,2,29,14135.72852
WCMO,15169,17.184,12821.098,6.499,15169,MAP,2,29,14698.44824
WCMO,15170,9.498,6498.958,4.744,15170,MAP,2,29,7809.851563
WCMO,15171,5.058,5698.198,3.245,15171,MAP,2,29,3637.740234
WCMO,15172,10.591,6696.131,5.07,15172,MAP,2,29,8837.15918
WCMO,15173,14.068,7329.123,5.97,15173,MAP,2,29,12135.16211
WCMO,15174,8.534,1324.093,4.509,15174,MAP,2,29,6898.771484
WCMO,15175,9.831,11557.969,4.893,15175,MAP,2,29,8117.306641
WCMO,15215,5.386,725.281,3.357,15215,MAP,2,29,3778.850342
WCMO,15216,5.939,5820.935,3.562,15216,MAP,2,29,4277.222168
WCMO,15229,19.211,7989.825,6.795,15229,MAP,2,29,15577.54297
WCMO,15230,8.633,6234.546,4.377,15230,MAP,2,29,6432.216309
WCMO,15231,88.601,19343.182,14.883,15231,MAP,2,29,74730.64844
WCMO,15232,15.806,7424.622,6.128,15232,MAP,2,29,12632.73145
WCMO,15233,69.228,11567.665,13.386,15233,MAP,2,29,60269.6875
WCMO,15234,5.906,10815.227,3.569,15234,MAP,2,29,4247.484375
WCMO,15235,10.881,6674.917,5.13,15235,MAP,2,29,8726.626953
WCMO,15236,5.046,5666.579,3.234,15236,MAP,2,29,3473.001953
WCMO,15238,5.128,5680.787,3.255,15238,MAP,2,29,3547.026856
WCMO,15240,32.378,10392.072,9.217,15240,MAP,2,29,28093.70117
WCMO,15430,5.881,5841.033,3.467,15430,MAP,2,29,4381.940918
WCMO,15431,101.003,37710.428,15.799,15431,MAP,2,29,92165.96875
WCMO,15432,256.111,80733.59,25.481,15432,MAP,2,29,235262.6875
WCMO,15434,16.094,7671.33,6.184,15434,MAP,2,29,13918.12695
WCMO,15435,338.148,69726.578,29.142,15435,MAP,2,29,311186.5938
WCMO,15437,9.429,6476.712,4.597,15437,MAP,2,29,7693.943359
WCMO,15439,18.2,8048.782,6.604,15439,MAP,2,29,15884.72461
WCMO,15440,60.437,37316.472,12.092,15440,MAP,2,29,52723.27344
WCMO,15441,40.777,16757.608,9.869,15441,MAP,2,29,35208.39453
WCMO,15442,45.747,31225.572,10.489,15442,MAP,2,29,39634.10156
WCMO,15443,311.268,59879.264,27.986,15443,MAP,2,29,285931.1875
WCMO,15445,203.179,65612.38,22.43,15445,MAP,2,29,184968.9531
WCMO,15450,7.95,6153.208,4.09,15450,MAP,2,29,6008.430176
WCMO,15451,8.08,6175.389,4.125,15451,MAP,2,29,6123.995117
WCMO,15452,158.382,66561.911,19.647,15452,MAP,2,29,138163.4219
WCMO,15453,9.154,6372.587,4.472,15453,MAP,2,29,7151.432617
