ID,Generation,Outlet.Sediment,SedRed,Duck,Cost,sedbcr,duckbcr,Type,lambdaSedBcr0,lambdaSedBcr0.1,lambdaSedBcr0.2,lambdaSedBcr0.3,lambdaSedBcr0.4,lambdaSedBcr0.5,lambdaSedBcr0.6,lambdaSedBcr0.7,lambdaSedBcr0.8,lambdaSedBcr0.9,lambdaSedBcr1
102,-1,211249.6032,0.8408,0,1063.9187,0.790285949,0,TLMO Reduced 102,0,0.079028595,0.15805719,0.237085785,0.31611438,0.395142975,0.47417157,0.553200165,0.63222876,0.711257355,0.790285949
103,-1,211249.8988,0.5452,0,3981.8305,0.136921951,0,TLMO Reduced 103,0,0.013692195,0.02738439,0.041076585,0.05476878,0.068460975,0.082153171,0.095845366,0.109537561,0.123229756,0.136921951
104,-1,211250.4194,0.0246,0,31.1375,0.790044159,0,TLMO Reduced 104,0,0.079004416,0.158008832,0.237013248,0.316017664,0.395022079,0.474026495,0.553030911,0.632035327,0.711039743,0.790044159
105,-1,211250.4413,0.0027,0,19.4507,0.138812485,0,TLMO Reduced 105,0,0.013881248,0.027762497,0.041643745,0.055524994,0.069406242,0.083287491,0.097168739,0.111049988,0.124931236,0.138812485
106,-1,211250.4262,0.0178,0,8.7802,2.027288672,0,TLMO Reduced 106,0,0.202728867,0.405457734,0.608186602,0.810915469,1.013644336,1.216373203,1.419102071,1.621830938,1.824559805,2.027288672
107,-1,211248.3709,2.0731,0,1496.7772,1.385042477,0,TLMO Reduced 107,0,0.138504248,0.277008495,0.415512743,0.554016991,0.692521238,0.831025486,0.969529734,1.108033981,1.246538229,1.385042477
108,-1,211250.4305,0.0135,0,6.6718,2.02344195,0,TLMO Reduced 108,0,0.202344195,0.40468839,0.607032585,0.80937678,1.011720975,1.21406517,1.416409365,1.61875356,1.821097755,2.02344195
109,-1,211243.41,7.034,0,2307.2392,3.048665262,0,TLMO Reduced 109,0,0.304866526,0.609733052,0.914599579,1.219466105,1.524332631,1.829199157,2.134065683,2.43893221,2.743798736,3.048665262
110,-1,211222.0506,28.3934,0,3391.3243,8.372363563,0,TLMO Reduced 110,0,0.837236356,1.674472713,2.511709069,3.348945425,4.186181782,5.023418138,5.860654494,6.69789085,7.535127207,8.372363563
111,-1,211250.4381,0.0059,0,4.2708,1.381474197,0,TLMO Reduced 111,0,0.13814742,0.276294839,0.414442259,0.552589679,0.690737098,0.828884518,0.967031938,1.105179357,1.243326777,1.381474197
112,-1,211236.2136,14.2304,0,4667.7617,3.048656061,0,TLMO Reduced 112,0,0.304865606,0.609731212,0.914596818,1.219462425,1.524328031,1.829193637,2.134059243,2.438924849,2.743790455,3.048656061
113,-1,211243.8454,6.5986,0,788.1381,8.372390575,0,TLMO Reduced 113,0,0.837239057,1.674478115,2.511717172,3.34895623,4.186195287,5.023434345,5.860673402,6.69791246,7.535151517,8.372390575
114,-1,211245.3277,5.1163,0,1678.2167,3.048652775,0,TLMO Reduced 114,0,0.304865278,0.609730555,0.914595833,1.21946111,1.524326388,1.829191665,2.134056943,2.43892222,2.743787498,3.048652775
