index,ID,Generation,Outlet.Sediment,SedRed,Duck,Cost,sedbcr,duckbcr,Type,lambdaSedBcr0,lambdaSedBcr0.1,lambdaSedBcr0.2,lambdaSedBcr0.3,lambdaSedBcr0.4,lambdaSedBcr0.5,lambdaSedBcr0.6,lambdaSedBcr0.7,lambdaSedBcr0.8,lambdaSedBcr0.9,lambdaSedBcr1,MOsID,MOs,sedbcr_dist
8813,13440,-1,211245.4533,4.9907,2.6115,638.5511,7.815662678,0.004089728,WCMO 1552,4.08972751,4.462321026000001,4.834914543,5.20750806,5.580101577000001,5.952695094,6.32528861,6.697882127000001,7.070475644,7.443069161,7.815662678,1552,WCMO,0.00010710800000079956
8829,13456,-1,211245.4688,4.9752,2.634,636.5703,7.815633246,0.004137799,WCMO 1568,4.1377990769999995,4.5055824939999995,4.8733659110000005,5.2411493280000006,5.608932745,5.976716162000001,6.344499578,6.712282995,7.080066412000001,7.447849829,7.815633246,1568,WCMO,2.9431999999829372e-05
8984,13611,-1,211245.3394,5.1046,2.6153,653.1406,7.815468828999999,0.004004191,WCMO 1723,4.004191441000001,4.385319179,4.766446918,5.147574657,5.528702396,5.909830135,6.290957872999999,6.672085612,7.053213351,7.43434109,7.815468828999999,1723,WCMO,0.0001644170000005829
8989,13616,-1,211245.3725,5.0715,2.6215,648.9067,7.815453285,0.004039872,WCMO 1728,4.039871988,4.417430117,4.794988247,5.172546377,5.550104507,5.927662636,6.305220766000001,6.682778896,7.060337025,7.437895155,7.815453285,1728,WCMO,1.5543999999145797e-05
8983,13610,-1,211245.348,5.096,2.6165,652.0439,7.815424697999999,0.004012767,WCMO 1722,4.012766625,4.393032432,4.77329824,5.153564047,5.5338298539999995,5.914095661,6.294361469,6.674627276,7.054893083,7.43515889,7.815424697999999,1722,WCMO,2.8587000000968033e-05
8962,13589,-1,211245.3184,5.1256,2.6276,655.8351,7.815379201,0.004006495,WCMO 1701,4.006494925,4.387383353,4.768271781,5.1491602080000005,5.530048636,5.9109370629999995,6.291825491,6.6727139179999995,7.053602346,7.4344907739999995,7.815379201,1701,WCMO,4.549699999945034e-05
8793,13420,-1,211245.2708,5.1732,2.6860000000000004,661.9298,7.815330266,0.004057832,WCMO 1532,4.057832115,4.43358193,4.809331745,5.18508156,5.560831375,5.93658119,6.312331005,6.688080821000001,7.0638306360000005,7.439580451,7.815330266,1532,WCMO,4.893499999969464e-05
9223,13850,-1,211245.0045,5.4395,2.7101,696.0155,7.815199517999999,0.003893735,WCMO 1962,3.893735125,4.285881563999999,4.678028004,5.070174443,5.462320882,5.8544673210000004,6.246613761,6.6387602,7.0309066389999995,7.423053079,7.815199517999999,1962,WCMO,0.00013074800000101305
9220,13847,-1,211244.685,5.7589999999999995,2.7901,736.9403,7.814744287999999,0.00378606,WCMO 1959,3.7860597389999997,4.188928194,4.591796649,4.994665104,5.397533559,5.800402013999999,6.2032704679999995,6.606138923,7.009007378,7.411875833,7.814744287999999,1959,WCMO,0.00045523000000002867
9001,13628,-1,211244.5979,5.8461,2.8677,748.0930000000001,7.814670101,0.003833347,WCMO 1740,3.833346923,4.231479241000001,4.629611559,5.027743877,5.425876195,5.824008512000001,6.22214083,6.620273148,7.018405466,7.416537783,7.814670101,1740,WCMO,7.418699999917067e-05
