Join_Count,TARGET_FID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DITCHALL_,DITCHALL_I,UNIQUE_ID,MAJOR,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,TWP,RNG,SEC,PEDIGREE,PEDYEAR,ID,SedRed,Cost,Duck,max_flowac,mean_flowl,Join_Cou_1,TARGET_F_1,Subbasin,Area,Elev,ElevMin,ElevMax,SubbasinR,subwatersh,Watershed,budget_rat,Bluff_avgE,River,Subbasin_1,Zone,Subbasin_2,watershed_,Zone_1,gag_loc,Shape_Leng,Shape_Le_1,Le2,X10_,X20_,X30_,X40_,X50_,X60_,X70_,X80_,X90_,Type
2,851,22544,22559,0,0,112.8987084,15967,1036,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,987,0.947,11939.714,0,2960,155009,1,987,801,7569399.941,378.4755595,363,393,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,23759.99973,113.3739788,113.3739788,1,1,1,1,1,1,1,1,1,ICMO
2,851,22559,22548,0,0,152.7226291,15968,1036,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,988,1.282,16151.332,0,3138,155110,1,988,801,7569399.941,378.4755595,363,393,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,23759.99973,152.1902312,152.1902312,1,1,1,1,1,1,1,1,1,ICMO
2,851,22552,22565,0,0,77.48718088,15974,1036,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,989,0.645,8194.733,0,508,151651,1,989,801,7569399.941,378.4755595,363,393,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,23759.99973,77.21311547,77.21311547,1,1,1,1,1,1,1,1,1,ICMO
2,851,22565,22553,0,0,26.96780856,15975,1036,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,990,0.225,2852.007,0,5,151597,1,990,801,7569399.941,378.4755595,363,393,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,23759.99973,27.08198912,27.08198912,1,1,1,1,1,1,1,1,1,ICMO
2,806,22570,22573,0,0,379.0938502,15982,1047,32024CD48,32,LeSueur River,32024,CD48,PUBLIC DITCH OPEN,WASECA,105,22,15,MSUWRC,1993,991,3.844,40091.443,0,11,149661,1,991,729,8335000.15,374.1844871,358,394,661,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,22720.00008,380.7211735,380.7211735,1,1,1,1,1,1,1,1,4,ICMO
2,806,22573,22571,0,0,186.9968488,15983,1047,32024CD48,32,LeSueur River,32024,CD48,PUBLIC DITCH OPEN,WASECA,105,22,15,MSUWRC,1993,992,1.887,19776.036,0,3380,149331,1,992,729,8335000.15,374.1844871,358,394,661,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,22720.00008,187.7889467,187.7889467,1,1,1,1,1,1,1,1,4,ICMO
1,919,22485,22486,0,0,972.6173362,16033,1065,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,993,8.162,102860.103,0,264,149040,1,993,869,577000.0028,372.9991334,368,381,830,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,4799.999828,975.336251,975.336251,1,1,1,1,1,1,1,1,1,ICMO
1,919,22421,22489,0,0,714.778608,16035,1065,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,994,5.998,75592.114,0,6692,150774,2,994,869,577000.0028,372.9991334,368,381,830,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,4799.999828,717.8219124,717.8219124,1,1,1,1,1,1,1,1,1,ICMO
1,919,22489,22485,0,0,379.662701,16036,1065,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,995,3.184,40151.602,0,234,149854,1,995,869,577000.0028,372.9991334,368,381,830,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,4799.999828,381.3265127,381.3265127,1,1,1,1,1,1,1,1,1,ICMO
1,880,22605,22526,0,0,1498.731457,16071,1066,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,996,12.583,158499.819,0,14778,149179,2,996,830,8944000.008,368.8424307,355,379,754,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,27899.99993,1498.179074,1498.179074,1,1,1,1,1,1,1,1,1,ICMO
1,880,22526,22491,0,0,268.1985756,16072,1066,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,997,2.25,28363.604,0,15696,148290,1,997,830,8944000.008,368.8424307,355,379,754,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,27899.99993,269.3658768,269.3658768,1,1,1,1,1,1,1,1,1,ICMO
