ld,Name_str,mean,std,q25,q50,q75
lambda0.1,Sub ISO-P-L,1713.8055215047054,28454.11779518304,0.6258663675930253,1.846255459427176,11.305585725616279
lambda0.1,Sub ISO-P-M,2063.757131968856,34264.324508730235,0.7536655493124462,2.2232527693596937,13.614137006537723
lambda0.1,Sub ISO-P-S,2433.0254754315183,40395.244739220274,0.8885190282457824,2.621059688847844,16.050116387154965
lambda0.1,Sub InC-M-L,6026.214308954215,100052.54951883409,2.2007192838139855,6.4919449307272785,39.753566910555854
lambda0.1,Sub InC-M-M,17960.006988591907,298187.94959128124,6.558833073443627,19.348030180766933,118.47808639565982
lambda0.1,Sub InC-M-S,82538.60692197207,1370379.0859222384,30.142357141601362,88.91752986617175,544.4884407946159
lambda0.1,Sub InC-P-L,4089.632529066898,67899.70288980793,1.4934970296455243,4.405696147606909,26.978376813163862
lambda0.1,Sub InC-P-M,11644.828364242501,193337.75846977552,4.252586619731387,12.544788584120637,76.81828753617428
lambda0.1,Sub InC-P-S,49748.94784935713,825976.1125341543,18.167868460777697,53.59375110834669,328.1825082324992
lambda0.2,BS,2665.7366664769224,42790.612086476656,2.0397299068270223,5.808653205589979,33.68936584794993
lambda0.2,BS+CC,1028.3616283208557,16507.34075704932,0.786866908009927,2.2408050067249126,12.996351648747844
lambda0.2,BS+CC+FM,908.2598188807309,14579.457180526158,0.6949691389392746,1.979102577833638,11.478514629018244
lambda0.2,BS+FM,1166.0149782422884,18716.96302505699,0.8921945114977627,2.540752327980039,14.736003627136201
lambda0.2,BS+GW,1462.1066960879286,23469.850284958793,1.1187536985504487,3.1859376261534598,18.477986971737554
lambda0.2,BS+GW+CC,891.0034365210297,14302.456390142135,0.6817651493534462,1.941500836457198,11.260429854989793
lambda0.2,BS+GW+CC+FM,792.9683757738178,12728.7899781284,0.6067520965495579,1.7278819606579958,10.021470632583219
lambda0.2,BS+GW+FM,914.514861070233,14679.86360374175,0.6997552818403495,1.9927323452904389,11.55756534973141
lambda0.2,CC,786.8223770130872,12630.133928503688,0.6020493899254455,1.7144897993646462,9.943797993963262
lambda0.2,CC+FM,670.8909210553302,10769.193190097947,0.5133426317400778,1.4618745910636222,8.478665566532555
lambda0.2,FM,57.26114606077618,919.1603655105322,0.0438142572700988,0.12477231671246272,0.7236617640345953
lambda0.2,GW,169.94687145617482,2728.000384750105,0.13003749419066976,0.3703150622782814,2.147774909353067
lambda0.2,GW+CC,604.7320968527841,9707.206603744686,0.46272017753315375,1.3177141902577651,7.642555660907308
lambda0.2,GW+CC+FM,522.5196536951792,8387.526078628163,0.3998140468824067,1.138572875403911,6.603561408541481
lambda0.2,GW+FM,107.19846976399982,1720.7581655083604,0.0820245778562597,0.23358598876607686,1.354765649449063
lambda0.2,NCMO,3216.3810113119766,51629.59789244891,2.461063998941091,7.008509920241893,40.648364843814804
lambda0.2,RAMO,32650.289414457577,524104.98246689624,24.982877199661075,71.1451399741518,412.63173476877745
lambda0.2,Sub ISO-M-L,1276.5436690946422,20491.178158219376,0.9767672598600176,2.7815948847497975,16.13285634317778
lambda0.2,Sub ISO-M-M,1409.918831178834,22632.126622667045,1.0788213413273249,3.072220013829151,17.818440927352935
lambda0.2,Sub ISO-M-S,1570.2653949349872,25206.022122314098,1.201513010637117,3.4216159587776325,19.84488791920154
