,Name,mean,std,q25,q50,q75
87,Sub022 ISO-M-L,1288.581769,8012.342748,0.872456158,3.297851199,29.13815157
88,Sub023 ISO-P-S,21321.36446,132575.2731,14.4359917,54.56750129,482.1309475
89,Sub025 ISO-M-S,1589.967045,9886.342666,1.076514175,4.069182765,35.95324865
90,Sub025 ISO-M-L,111.8621243,695.5535937,0.07573815,0.286287335,2.529490647
91,Sub025 ISO-P-L,76.20613912,473.8463019,0.05159666,0.195033418,1.723217017
92,Sub025 ISO-P-S,1168.346911,7264.727874,0.791049107,2.99013563,26.41933184
93,Sub026 ISO-P-S,952.9235801,5925.235416,0.645193084,2.438805395,21.54805568
94,Sub026 ISO-P-M,440.4347173,2738.603011,0.298203801,1.127199061,9.959362964
95,Sub026 ISO-P-L,251.8882537,1566.229688,0.170545218,0.644654456,5.695841962
96,Sub026 ISO-M-S,1219.998556,7585.895452,0.82602073,3.12232704,27.58730853
97,Sub026 ISO-M-M,198.5528697,1234.5927,0.13443359,0.508153875,4.489791605
98,Sub026 ISO-M-L,406.7345157,2529.056692,0.275386508,1.040950557,9.197314637
99,Sub027 ISO-M-M,98.63305101,613.2958185,0.066781181,0.252430333,2.230347238
100,Sub027 ISO-M-S,2250.900665,13995.99781,1.5240105,5.760701908,50.89865952
101,Sub027 ISO-M-L,683.6596837,4250.964773,0.462883393,1.749681674,15.45930569
102,Sub027 ISO-P-L,463.8152383,2883.982025,0.31403398,1.187036536,10.48805674
103,Sub027 ISO-P-S,1656.565502,10300.44884,1.121605791,4.239627363,37.45921124
104,Sub027 ISO-P-M,612.3476538,3807.549819,0.414600373,1.567173688,13.84675709
105,Sub028 ISO-P-L,229.960954,1429.886737,0.155698967,0.588536192,5.200009259
106,Sub028 ISO-M-L,342.6976013,2130.878076,0.232029228,0.877061683,7.749275124
107,Sub029 ISO-M-L,443.96802,2760.572926,0.300596084,1.136241798,10.03926003
108,Sub029 ISO-M-M,134.3694583,835.5031716,0.090977122,0.343890073,3.03843942
109,Sub029 ISO-P-L,229.8662638,1429.297958,0.155634855,0.588293853,5.19786807
110,Sub029 ISO-P-M,102.0270404,634.3994898,0.069079139,0.261116528,2.307094076
111,Sub030 ISO-P-S,5044.385467,31365.75907,3.4153868,12.91003261,114.0665434
112,Sub030 ISO-P-L,1185.468415,7371.188606,0.802641512,3.033954481,26.80649313
113,Sub030 ISO-M-S,6800.959327,42288.05531,4.604704947,17.40561011,153.7872011
114,Sub030 ISO-M-L,1706.067367,10608.24918,1.155121868,4.366316865,38.57857584
115,Sub031 ISO-M-M,45.42302316,282.4382891,0.030754429,0.116250575,1.027131506
116,Sub031 ISO-M-S,3215.339059,19992.83181,2.176999885,8.228977023,72.7070948
117,Sub031 ISO-P-S,2333.777206,14511.32036,1.580123469,5.972806802,52.77271149
118,Sub031 ISO-P-L,530.7427528,3300.134262,0.359348389,1.358323287,12.00146017
119,Sub032 ISO-M-L,802.5767118,4990.385437,0.543398185,2.054024537,18.14832588
120,Sub032 ISO-P-M,102.1208772,634.9829632,0.069142673,0.261356683,2.309215969
121,Sub032 ISO-M-S,186.7841814,1161.415532,0.1264654,0.478034418,4.223671262
122,Sub032 ISO-M-M,1353.856502,8418.218064,0.916651524,3.464908007,30.61418135
123,Sub033 ISO-P-M,1315.545587,8180.00254,0.890712469,3.366859361,29.74787292
124,Sub033 ISO-P-L,1300.826819,8088.481909,0.880746877,3.329189802,29.41504367
125,Sub033 ISO-M-M,1974.866345,12279.62898,1.337116779,5.054250728,44.65681284
126,Sub033 ISO-M-L,1976.805837,12291.68865,1.338429945,5.059214444,44.70066973
127,Sub034 ISO-M-L,29.61131932,184.1218347,0.020048846,0.075783879,0.669588171
128,Sub034 ISO-M-S,3890.593226,24191.53146,2.63419218,9.957146563,87.97633011
129,Sub034 ISO-M-M,1776.524876,11046.35076,1.202826321,4.546637888,40.17180155
130,Sub034 ISO-P-M,1198.444699,7451.874549,0.811427325,3.067164522,27.09992032
131,Sub034 ISO-P-S,2874.826502,17875.54024,1.946450079,7.357507497,65.00722915
132,Sub034 ISO-P-L,613.6492847,3815.643301,0.415481664,1.570504936,13.87619032
133,Sub035 ISO-P-S,70.04599291,435.5427934,0.047425828,0.179267833,1.58392025
134,Sub035 ISO-P-M,19.41465322,120.7194294,0.01314502,0.049687679,0.439015297
135,Sub035 ISO-M-S,96.12911616,597.7264657,0.06508585,0.246022044,2.173726824
136,Sub035 ISO-M-L,359.686387,2236.513571,0.243531773,0.92054087,8.13343531
137,Sub036 ISO-M-L,361.6179408,2248.523884,0.244839565,0.925484271,8.177112714
138,Sub036 ISO-M-S,2257.020011,14034.04763,1.528153708,5.776363075,51.0370337
139,Sub036 ISO-P-M,652.0448884,4054.385416,0.441478059,1.668770324,14.74441377
140,Sub036 ISO-P-S,1655.903339,10296.33154,1.121157462,4.237932697,37.44423803
141,Sub037 ISO-P-S,5518.799502,34315.64393,3.736596875,14.12419451,124.7942662
142,Sub037 ISO-P-M,2164.835516,13460.84863,1.465738631,5.54043645,48.95250492
143,Sub037 ISO-P-L,1358.237234,8445.457254,0.919617573,3.476119558,30.71324097
144,Sub038 ISO-M-L,390.9114544,2430.669618,0.264673235,1.000454794,8.839514479
145,Sub038 ISO-M-S,1434.459546,8919.40412,0.971225183,3.671194368,32.4368237
146,Sub038 ISO-M-M,1015.970961,6317.261157,0.687880383,2.600161768,22.97371929
147,Sub038 ISO-P-M,704.9058359,4383.07238,0.477268461,1.804056686,15.9397359
148,Sub038 ISO-P-S,1058.667139,6582.744046,0.716788555,2.709433561,23.9391898
149,Sub039 ISO-P-S,7.447509169,46.30827278,0.005042462,0.019060317,0.168407358
150,Sub039 ISO-P-M,3.452020588,21.46450678,0.002337249,0.008834713,0.078059074
151,Sub039 ISO-P-L,3.251044589,20.21484717,0.002201175,0.008320358,0.073514489
152,Sub039 ISO-M-S,6.134394979,38.14338856,0.004153396,0.01569968,0.138714465
153,Sub039 ISO-M-M,2.850369239,17.72346609,0.001929891,0.007294914,0.064454187
154,Sub039 ISO-M-L,3.838480837,23.867499,0.002598909,0.009823776,0.086797935
155,Sub040 ISO-M-M,347.0207979,2157.759515,0.234956321,0.888125986,7.84703373
156,Sub040 ISO-M-S,661.2541374,4111.648107,0.447713337,1.69233944,14.95265861
157,Sub040 ISO-P-S,481.1612007,2991.838429,0.325778358,1.231429841,10.88029361
158,Sub040 ISO-P-M,230.945229,1436.006915,0.156365387,0.591055235,5.222266252
159,Sub041 ISO-P-S,3.266450345,20.31063946,0.002211606,0.008359785,0.073862853
160,Sub041 ISO-P-M,4.071611143,25.31709263,0.002756753,0.010420423,0.092069611
161,Sub041 ISO-P-L,2.371533983,14.74609028,0.001605687,0.006069437,0.053626489
162,Sub041 ISO-M-S,5.334254778,33.16815324,0.003611648,0.013651892,0.120621235
163,Sub041 ISO-M-M,1.02320947,6.36226988,0.000692781,0.002618687,0.023137401
164,Sub041 ISO-M-L,0.829939657,5.160526985,0.000561925,0.002124054,0.018767073
165,Sub042 ISO-M-L,1281.702097,7969.565259,0.867798159,3.28024414,28.98258446
166,Sub042 ISO-M-S,4859.704651,30217.42216,3.290345519,12.43738131,109.8904346
167,Sub042 ISO-P-M,1367.568684,8503.479785,0.92593559,3.500001422,30.92424908
168,Sub042 ISO-P-S,3534.658448,21978.34523,2.393200497,9.04620714,79.92772834
169,Sub043 ISO-P-S,910.28249,5660.09506,0.61632221,2.329674587,20.58383084
170,Sub043 ISO-P-M,687.505745,4274.879407,0.465487434,1.759524851,15.54627504
171,Sub043 ISO-P-L,36.15371218,224.8021355,0.024478484,0.092527743,0.817528519
172,Sub043 ISO-M-S,1234.6074,7676.73258,0.835911896,3.159715272,27.91765212
173,Sub043 ISO-M-M,997.3587695,6201.5314,0.675278683,2.55252782,22.55284972
174,Sub044 ISO-M-L,18.15708972,112.8999568,0.012293566,0.046469213,0.410578548
175,Sub044 ISO-M-M,1217.881022,7572.728721,0.824587017,3.116907661,27.53942563
176,Sub044 ISO-P-M,847.4543685,5269.432663,0.573783364,2.168879362,19.16312525
177,Sub044 ISO-P-S,3572.993897,22216.71331,2.419156164,9.144318575,80.79459155
178,Sub044 ISO-P-L,14.84111473,92.28137537,0.010048429,0.037982679,0.335595816
179,Sub045 ISO-M-M,351.2216481,2183.88021,0.237800578,0.898877169,7.942025769
180,Sub045 ISO-P-S,655.6376907,4076.725297,0.443910627,1.677965338,14.82565629
181,Sub045 ISO-P-M,207.7032672,1291.489455,0.140629023,0.531572373,4.696705655
182,Sub045 ISO-M-S,841.8162651,5234.375193,0.569965991,2.154449834,19.03563321
183,Sub046 ISO-M-L,2551.10874,15862.67794,1.727271473,6.529020678,57.68713706
184,Sub046 ISO-M-M,4004.219141,24898.05223,2.711124534,10.24794794,90.5457046
185,Sub046 ISO-P-M,2777.25373,17268.83719,1.880386777,7.107790721,62.80085754
186,Sub046 ISO-P-L,1743.532976,10841.20863,1.180488595,4.46220213,39.42576973
187,Sub047 ISO-P-S,126.8389473,788.6787968,0.085878462,0.324617331,2.868155175
188,Sub047 ISO-P-M,240.1184343,1493.045487,0.162576262,0.614532104,5.429696041
189,Sub047 ISO-P-L,144.3381801,897.4882294,0.097726615,0.369402898,3.263857886
190,Sub047 ISO-M-S,50.60651452,314.6690022,0.034264,0.129516619,1.144343592
191,Sub047 ISO-M-M,298.2161748,1854.294592,0.201912323,0.763220925,6.743435543
192,Sub047 ISO-M-L,73.01559305,454.0076318,0.049436447,0.186867894,1.651070555
193,Sub048 ISO-M-S,7856.220569,48849.62166,5.319187482,20.106327,177.6493748
194,Sub048 ISO-M-M,3039.378173,18898.71504,2.05786258,7.778642528,68.72816609
195,Sub048 ISO-P-M,1166.024531,7250.287422,0.7894767,2.984191993,26.36681686
196,Sub048 ISO-P-S,5710.919546,35510.23761,3.866675011,14.61588494,129.1385951
197,Sub048 ISO-P-L,1387.338496,8626.407579,0.939321077,3.550598055,31.37129544
198,Sub049 ISO-P-S,7319.424611,45511.84884,4.955740668,18.73251182,165.5110361
199,Sub049 ISO-P-M,1695.036283,10539.6584,1.147653086,4.33808515,38.32913463
200,Sub049 ISO-P-L,1788.595197,11121.40347,1.210998737,4.57752931,40.44474258
201,Sub049 ISO-M-M,4210.183548,26178.72953,2.850576232,10.77507008,95.20309016
202,Sub049 ISO-M-L,2675.812525,16638.0804,1.811704287,6.848173514,60.50701071
203,Sub050 ISO-M-L,1576.726872,9804.015874,1.067549691,4.035297356,35.65385425
204,Sub050 ISO-M-M,4188.696851,26045.12623,2.836028299,10.72007944,94.71722061
205,Sub050 ISO-P-L,1057.657622,6576.466916,0.716105045,2.706849917,23.91636202
206,Sub050 ISO-P-M,2855.25631,17753.85368,1.933199748,7.307421748,64.56469671
207,Sub051 ISO-P-M,8251.99935,51310.55608,5.587156223,21.11923869,186.5989521
208,Sub051 ISO-P-L,3016.818218,18758.43827,2.04258798,7.720905119,68.21802744
209,Sub052 ISO-M-L,0.422021154,2.624108312,0.000285737,0.001080073,0.009542985
210,Sub052 ISO-M-M,0.301632674,1.875538229,0.000204226,0.000771965,0.006820691
211,Sub052 ISO-M-S,0.5086744,3.16291425,0.000344407,0.001301844,0.011502438
212,Sub052 ISO-P-M,0.2050573,1.275036954,0.000138838,0.000524801,0.004636874
213,Sub052 ISO-P-S,0.369103141,2.295066517,0.000249908,0.000944641,0.008346372
214,Sub052 ISO-P-L,0.282449894,1.756260579,0.000191237,0.00072287,0.006386919
215,Sub053 ISO-P-S,44.2232792,274.9783357,0.029942122,0.113180085,1.000002206
216,Sub053 ISO-P-M,346.3301914,2153.465355,0.234488734,0.886358526,7.831417339
217,Sub053 ISO-P-L,192.7204315,1198.326865,0.130484639,0.493226989,4.357905161
218,Sub053 ISO-M-S,206.4253832,1283.54363,0.139763809,0.5283019,4.667809407
219,Sub053 ISO-M-M,343.9951378,2138.946098,0.232907747,0.880382452,7.778615764
220,Sub053 ISO-M-L,128.7677427,800.6719589,0.087184386,0.329553673,2.911770206
221,Sub054 ISO-M-L,2009.016641,12491.97396,1.360238816,5.141651152,45.42903895
222,Sub054 ISO-M-M,3152.9659,19604.99835,2.134769079,8.069346178,71.29667708
223,Sub054 ISO-P-M,2145.627541,13341.41432,1.452733545,5.491277719,48.51816314
224,Sub054 ISO-P-L,1343.914689,8356.400324,0.909920251,3.439464049,30.38937136
225,Sub055 ISO-P-S,4228.926738,26295.27383,2.863266627,10.82303929,95.62692194
226,Sub055 ISO-P-M,1654.584212,10288.12927,1.120264325,4.234556672,37.41440917
227,Sub055 ISO-M-S,5822.562146,36204.42621,3.942264529,14.90161045,131.6631217
228,Sub055 ISO-M-M,2431.385354,15118.24338,1.646210722,6.222614114,54.97988304
229,Sub056 ISO-M-L,3910.782314,24317.0663,2.647861545,10.00881624,88.43285738
