WCMOid,Percent Wetland,Percent grass,Percent water
109,0.133630741,0.199837778,0.088208456
110,0.152199645,0.214637996,0.136417439
111,0.169248245,0.262185048,0.057104502
112,0.176683563,0.265025344,0.091858901
113,0.183259735,0.260537937,0.134383782
114,0.123069001,0.193848891,0.11389383
115,0.07562324,0.214874309,0.102117451
116,0.06884058,0.197929607,0.103519669
117,0.120063036,0.312222988,0.060474737
118,0.096552825,0.244095117,0.08171082
119,0.044784768,0.1625,0.113824503
120,0.044738755,0.145441331,0.099410482
121,0.037452107,0.10651341,0.381704981
122,0.051018833,0.132062365,0.258567459
123,0.036273446,0.103704852,0.358006511
124,0.056918548,0.125809617,0.324631992
125,0.197742282,0.29173706,0.170173552
126,0.152220195,0.223007908,0.269312652
127,0.173180388,0.252157141,0.247792102
128,0.186453798,0.272472182,0.052539913
129,0.168076855,0.280627534,0.039837828
130,0.220601641,0.314797934,0.052466322
131,0.220279369,0.310823033,0.103205708
132,0.231525034,0.323089788,0.109543221
133,0.212545979,0.306392286,0.096431057
134,0.240942154,0.343540007,0.052511257
135,0.172995344,0.247490947,0.048008277
136,0.187424304,0.276140493,0.063080339
137,0.162637174,0.233196159,0.043381344
138,0.19755836,0.284995463,0.080178174
139,0.171204019,0.25352455,0.065305461
140,0.061339721,0.134998717,0.053896826
141,0.053592732,0.123153161,0.008075617
142,0.144203088,0.240076769,0.088632993
143,0.139697444,0.243401148,0.018466354
145,0.139908032,0.241561491,0.05165835
146,0.224760351,0.274015909,0.224964308
147,0.140149575,0.237270771,0.101116689
148,0.137044363,0.226146746,0.138739757
149,0.137038115,0.240131898,0.078071962
150,0.138543154,0.224035911,0.141399714
151,0.153061671,0.223793058,0.155118834
152,0.062358855,0.209951191,0.219203031
153,0.043836679,0.174473863,0.122587528
154,0.041971744,0.164071362,0.126637104
155,0.041259604,0.150336716,0.216636631
156,0.050281074,0.161773891,0.084218197
157,0.042889861,0.1363731,0.161877993
158,0.044705437,0.137052472,0.162246638
159,0.057243232,0.146414548,0.104153751
160,0.059076411,0.158646512,0.21044238
161,0.068016709,0.14284417,0.007991282
164,0.032886137,0.090127279,0.412039904
165,0.195300924,0.276723347,0.095322091
166,0.188570842,0.26849287,0.087821894
167,0.160410602,0.241458557,0.16477708
168,0.113251227,0.19603667,0.13177146
169,0.113404189,0.179960788,0.050356
170,0.108758904,0.164141668,0.025283435
171,0.097054816,0.149355413,0.01540719
172,0.087972369,0.141609102,0.036468915
173,0.078694258,0.129116876,0.01739046
