"WCMOid","Xcoordinates","Ycoordinates","Easting","Northing","SemipermanentNP","TemporalNP","SeasonalNP"
100,183935.421888,2357421.63314,5.2145847280053,7.76532377244503,0.126691548004454,6.28155399370077,2.9719368750946
101,182982.896515,2357310.20196,5.20939268680694,7.76527650308426,0.125382678451414,6.28232218575275,2.97036155345398
102,183457.632581,2357110.3603,5.21198375571939,7.76519172419893,0.126001030639918,6.28370019446186,2.97156781947285
103,183095.252853,2356975.13945,5.21000652481788,7.76513435534126,0.125491626084179,6.28463284794151,2.97112051937354
104,175840.919858,2356666.62934,5.16957972186319,7.76500345438375,0.115807354850218,6.28676144128667,2.95796440611841
105,173627.238042,2356945.65283,5.15691069108214,7.7651218448977,0.112974428032785,6.28483625034267,2.95323908229647
106,173582.597609,2356544.04645,5.15665355301368,7.7649514376595,0.112867940489656,6.2876074905075,2.95380931243624
107,174195.815943,2356604.74779,5.16018004543305,7.76497719595514,0.113665758074638,6.28718851898512,2.95489771268419
108,165269.929081,2357644.63313,5.1075800710427,7.76541836283998,0.102550067416718,6.28001705187795,2.93554144624939
109,166029.254311,2358702.61953,5.11216400361888,7.76586700937131,0.103606933804821,6.27273238731138,2.93535676126639
110,166166.406989,2358228.90404,5.1129897379783,7.76566615189046,0.103721094386401,6.27599266084498,2.93640267641862
111,166257.109853,2356457.79043,5.11353544465461,7.76491483422798,0.103627104451958,6.28820291160068,2.93946600184286
112,166412.899171,2356457.95795,5.11447204443915,7.76491490531773,0.103819368013484,6.28820175514252,2.93977959963684
113,166597.606576,2356505.3407,5.11558136333903,7.76493501273083,0.1040530452904,6.28787466473998,2.94007424552323
114,165749.707746,2358142.08247,5.1104788658427,7.76562933478245,0.103197366451384,6.27659045162151,2.93570332886278
115,190510.324775,2357948.74383,5.24970639139204,7.76554734372366,0.135877047096348,6.27792192588228,2.98298953067531
116,190348.08786,2357937.84492,5.24885443738798,7.76554272151326,0.135646849341811,6.27799699557623,2.98271782023172
117,191663.512993,2357772.28265,5.25574129804431,7.76547250419049,0.137484337119055,6.27913751121553,2.98533402218178
118,191188.430143,2357720.69512,5.25325948698199,7.76545062417487,0.13680419036488,6.27949294306537,2.98457473026478
119,188513.894822,2357202.72041,5.23917171675498,7.76523090704845,0.13297598844724,6.28306327299038,2.98063985173321
120,189291.028477,2357057.09106,5.24328566394374,7.76516912456048,0.134043054414931,6.28406758339651,2.98227850973766
