County,State,WLD,CC,NM,ASC_obs,Subbasin,Area_acre,inter_acre
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,99,11505,24.9396
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,99,11505,2790.21
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,99,11505,8690.02
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,100,20640,2497.51
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,100,20640,18142.6
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,101,23186,180.185
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,101,23186,1292.58
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,101,23186,21712.8
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,102,13965,1869.47
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,102,13965,12095.1
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,103,16276,7281.91
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,103,16276,8993.76
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,104,11317,142.081
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,104,11317,536.873
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,104,11317,10637.7
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,105,25658,325.926
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,105,25658,25332.2
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,106,27097,6056.11
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,106,27097,21040.8
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,107,22301,3686.79
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,107,22301,18614.1
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,108,24948,6255.67
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,108,24948,8334.27
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,108,24948,10358.4
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,109,12889,948.213
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,109,12889,1078.26
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,109,12889,10863
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,110,16503,4897.82
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,110,16503,11605.4
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,111,27890,27890.3
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,112,11457,11457.1
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,113,17719,421.562
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,113,17719,1816.41
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,113,17719,15480.8
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,114,38820,7074.76
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,114,38820,12851.1
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,114,38820,18894.4
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,115,27637,27636.6
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,116,31884,31883.8
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,117,10514,10514.3
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,118,35381,15402.4
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,118,35381,19978.8
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,119,15561,15561.2
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,120,26810,26810.3
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,121,20478,20477.6
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,122,25143,286.341
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,122,25143,24856.5
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,123,10917,10917.1
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,124,34491,34491.1
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,125,25130,3.71825
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,125,25130,25126.3
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,126,27869,27868.9
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,127,22106,22105.8
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,128,14596,4351.99
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,128,14596,10244.2
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,129,26154,4770.11
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,129,26154,9450.6
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,129,26154,11933.3
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,130,34657,23.016
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,130,34657,5274.68
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,130,34657,29359.1
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,131,26883,816.826
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,131,26883,6410.81
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,131,26883,19655.6
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,132,21570,21569.6
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,133,14751,14750.9
Renville,Minnesota,267.1064237,82.60749044,97.36010955,47.49372663,134,20932,3955.28
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,134,20932,8193.75
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,134,20932,8782.93
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,135,15797,15797.5
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,136,29251,29251.4
Brookings,South Dakota,284.0802463,99.61335766,114.324197,64.32667692,137,27344,66.1741
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,137,27344,27277.9
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,138,16687,1142.95
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,138,16687,15544.1
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,139,22511,8103.91
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,139,22511,14406.9
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,140,37434,195.793
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,140,37434,6963.9
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,140,37434,30274.3
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,141,13906,890.708
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,141,13906,2036.14
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,141,13906,10979.5
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,142,23748,23748.2
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,143,17938,17938.1
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,144,15009,3924.12
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,144,15009,11084.9
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,145,22752,4949.51
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,145,22752,17802.1
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,146,11273,11272.9
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,147,10144,357.241
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,147,10144,9787.06
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,148,26514,26513.9
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,149,16496,908.928
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,149,16496,15587.1
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,150,18298,18298.2
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,151,18760,18760.2
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,152,29484,12766.9
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,152,29484,16717
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,153,25747,1676.65
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,153,25747,24069.9
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,154,14021,1111.92
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,154,14021,12909
Renville,Minnesota,267.1064237,82.60749044,97.36010955,47.49372663,155,20508,1.07119
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,155,20508,20506.5
Kandiyohi,Minnesota,230.169958,45.42902496,60.46463069,10.45861018,156,21375,21375.2
Kandiyohi,Minnesota,230.169958,45.42902496,60.46463069,10.45861018,157,27520,27520.5
Kandiyohi,Minnesota,230.169958,45.42902496,60.46463069,10.45861018,158,17526,17525.8
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,159,23635,8697.82
Kandiyohi,Minnesota,230.169958,45.42902496,60.46463069,10.45861018,159,23635,14936.8
Kandiyohi,Minnesota,230.169958,45.42902496,60.46463069,10.45861018,160,35017,15415.9
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,160,35017,19601.2
Kandiyohi,Minnesota,230.169958,45.42902496,60.46463069,10.45861018,161,23686,23686.3
Kandiyohi,Minnesota,230.169958,45.42902496,60.46463069,10.45861018,162,20226,20225.6
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,163,32106,213.738
Renville,Minnesota,267.1064237,82.60749044,97.36010955,47.49372663,163,32106,11643.1
Kandiyohi,Minnesota,230.169958,45.42902496,60.46463069,10.45861018,163,32106,20249.3
Renville,Minnesota,267.1064237,82.60749044,97.36010955,47.49372663,164,10265,3708.47
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,164,10265,6556.91
Kandiyohi,Minnesota,230.169958,45.42902496,60.46463069,10.45861018,165,15404,82.5005
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,165,15404,1519.25
Renville,Minnesota,267.1064237,82.60749044,97.36010955,47.49372663,165,15404,13802.4
Kandiyohi,Minnesota,230.169958,45.42902496,60.46463069,10.45861018,166,15866,2384.97
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,166,15866,13481.3
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,167,22174,22173.7
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,168,14917,14916.5
Renville,Minnesota,267.1064237,82.60749044,97.36010955,47.49372663,169,28033,6155.95
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,169,28033,21876.6
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,170,17354,0.0792195
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,170,17354,875.183
Renville,Minnesota,267.1064237,82.60749044,97.36010955,47.49372663,170,17354,16478.4
Lyon,Minnesota,229.14529,44.48585432,59.39409691,9.437279774,171,12417,904.927
Redwood,Minnesota,224.3774624,39.61909289,54.63007856,4.677307475,171,12417,921.068
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,171,12417,10591
