OBJECTID,HRU_ID,HRU_GIS,Area
8795,1099,001140011,8.86733191629
8094,1101,001140013,20.64186809560
8093,1100,001140012,4.89702406970
8070,1102,001140014,18.20555914040
8112,1103,001140015,2.07954833332
8145,1089,001140001,4.51872860140
8142,1090,001140002,4.09449212746
8128,1092,001140004,3.24458352316
8127,1091,001140003,1.73140164997
9941,1093,001140005,3.27688579275
9946,1094,001140006,9.71365137953
9967,1095,001140007,4.66085858759
9964,1096,001140008,7.39578407946
8219,1105,001140017,2.26403018408
8218,1104,001140016,0.86498299677
8095,1106,001140018,14.55899181790
7324,1108,001150002,62.08280866550
7333,1107,001150001,11.20027360880
7910,1109,001150003,11.35173536180
7911,1110,001150004,3.11322096017
7325,1111,001150005,9.40785656075
7913,1113,001150007,1.37966582556
7927,1112,001150006,0.43285041249
6836,1115,001160002,87.51043745780
6840,1114,001160001,11.95399323260
7690,1116,001170001,18.64056303750
7702,1117,001170002,3.62000767861
7764,1118,001170003,7.31179817853
7766,1119,001170004,1.29352643999
8173,1120,001170005,5.59044612354
8172,1121,001170006,1.11335155850
8762,1122,001180001,102.39604111300
8761,1123,001180002,19.23636045440
8436,1124,001190001,7.61256819981
8453,1125,001190002,1.75221866815
7748,1127,001190004,6.40733463004
7754,1126,001190003,0.90015657921
7783,1128,001190005,33.68911369670
7790,1129,001190006,4.55749132491
2819,124,000120010,2.76866341789
2842,123,000120009,0.47879141813
2878,126,000120012,9.04750679778
2919,125,000120011,3.19146423540
2828,115,000120001,1.67182190829
2831,116,000120002,2.73923246115
3025,117,000120003,2.53536924863
3029,118,000120004,8.18683077029
2925,119,000120005,2.61648383671
2926,120,000120006,3.92795598203
2972,122,000120008,1.25691720112
2971,121,000120007,10.29724571680
7494,1131,001200002,14.08020039980
7495,1130,001200001,3.02277460532
8576,1132,001200003,33.73361904590
8578,1133,001200004,4.84175129729
7917,1134,001200005,29.70301362940
7921,1135,001200006,3.69537964099
8061,1136,001210001,52.01742146150
8068,1137,001210002,10.42789045160
8344,1138,001220001,53.47963753160
8345,1139,001220002,10.15655138700
8216,1141,001220004,17.64780661880
8215,1140,001220003,4.32993978136
7428,1142,001230001,10.89878575930
7449,1143,001230002,1.86635335403
7557,1144,001230003,22.44935953620
7558,1145,001230004,3.24601917959
6812,1146,001240001,50.47050166230
6951,1147,001240002,43.71430252070
7020,1148,001240003,18.73100939240
6959,1149,001250001,23.53686927900
6995,1150,001250002,31.47030669010
7006,1151,001250003,5.22722504772
9652,1152,001260001,91.77936184100
9454,1153,001270001,66.81114310510
9459,1154,001270002,9.77897374692
7974,1156,001280002,15.26318129490
8003,1155,001280001,2.95170961222
8437,1157,001280003,22.74654041640
8438,1158,001280004,4.40961871301
8327,1160,001280006,5.55599036931
8328,1159,001280005,1.33587830456
7225,1162,001290002,13.10969665570
7276,1161,001290001,2.24536665054
7403,1163,001290003,7.19551000801
7391,1164,001290004,3.30344543664
7547,1166,001290006,20.03027845810
7548,1165,001290005,3.53745743411
8582,1167,001290007,8.24569268376
8528,1168,001290008,9.19179026861
8544,1169,001290009,1.43924556724
7387,1170,001290010,9.72226531809
1938,131,000130005,16.81440806340
1939,132,000130006,3.36733214760
1927,133,000130007,5.65361500629
1926,134,000130008,2.95960572257
1919,128,000130002,4.84318695372
1912,127,000130001,2.30207507938
1915,130,000130004,3.85043053501
1914,129,000130003,4.68023994934
8825,1172,001300002,68.43917749240
