Subbasin,Label,Practices,Select,subbasin
Sub024,Sub024 ISO-M-S, ISO-M-S,1,24
Sub024,Sub024 ISO-M-M, ISO-M-M,0,24
Sub024,Sub024 ISO-M-L, ISO-M-L,1,24
Sub025,Sub025 ISO-P-S, ISO-P-S,0,25
Sub025,Sub025 ISO-P-M, ISO-P-M,0,25
Sub025,Sub025 ISO-P-L, ISO-P-L,0,25
Sub025,Sub025 ISO-M-S, ISO-M-S,1,25
Sub025,Sub025 ISO-M-M, ISO-M-M,0,25
Sub025,Sub025 ISO-M-L, ISO-M-L,1,25
Sub026,Sub026 ISO-P-S, ISO-P-S,0,26
Sub026,Sub026 ISO-P-M, ISO-P-M,1,26
Sub026,Sub026 ISO-P-L, ISO-P-L,1,26
Sub026,Sub026 ISO-M-S, ISO-M-S,1,26
Sub026,Sub026 ISO-M-M, ISO-M-M,0,26
Sub026,Sub026 ISO-M-L, ISO-M-L,1,26
Sub027,Sub027 ISO-P-S, ISO-P-S,0,27
Sub027,Sub027 ISO-P-M, ISO-P-M,0,27
Sub027,Sub027 ISO-P-L, ISO-P-L,0,27
Sub027,Sub027 ISO-M-S, ISO-M-S,0,27
Sub027,Sub027 ISO-M-M, ISO-M-M,1,27
Sub027,Sub027 ISO-M-L, ISO-M-L,1,27
Sub028,Sub028 ISO-P-S, ISO-P-S,1,28
Sub028,Sub028 ISO-P-M, ISO-P-M,0,28
Sub028,Sub028 ISO-P-L, ISO-P-L,0,28
Sub028,Sub028 ISO-M-S, ISO-M-S,0,28
Sub028,Sub028 ISO-M-M, ISO-M-M,0,28
Sub028,Sub028 ISO-M-L, ISO-M-L,1,28
Sub029,Sub029 ISO-P-S, ISO-P-S,1,29
Sub029,Sub029 ISO-P-M, ISO-P-M,1,29
Sub029,Sub029 ISO-P-L, ISO-P-L,1,29
Sub029,Sub029 ISO-M-S, ISO-M-S,1,29
Sub029,Sub029 ISO-M-M, ISO-M-M,0,29
Sub029,Sub029 ISO-M-L, ISO-M-L,1,29
Sub030,Sub030 ISO-P-S, ISO-P-S,0,30
Sub030,Sub030 ISO-P-M, ISO-P-M,0,30
Sub030,Sub030 ISO-P-L, ISO-P-L,0,30
Sub030,Sub030 ISO-M-S, ISO-M-S,0,30
Sub030,Sub030 ISO-M-M, ISO-M-M,0,30
Sub030,Sub030 ISO-M-L, ISO-M-L,0,30
Sub031,Sub031 ISO-P-S, ISO-P-S,1,31
Sub031,Sub031 ISO-P-M, ISO-P-M,1,31
Sub031,Sub031 ISO-P-L, ISO-P-L,1,31
Sub031,Sub031 ISO-M-S, ISO-M-S,0,31
Sub031,Sub031 ISO-M-M, ISO-M-M,1,31
Sub031,Sub031 ISO-M-L, ISO-M-L,0,31
Sub032,Sub032 ISO-P-S, ISO-P-S,0,32
Sub032,Sub032 ISO-P-M, ISO-P-M,1,32
Sub032,Sub032 ISO-P-L, ISO-P-L,1,32
Sub032,Sub032 ISO-M-S, ISO-M-S,0,32
Sub032,Sub032 ISO-M-M, ISO-M-M,0,32
Sub032,Sub032 ISO-M-L, ISO-M-L,1,32
Sub033,Sub033 ISO-P-S, ISO-P-S,1,33
Sub033,Sub033 ISO-P-M, ISO-P-M,1,33
Sub033,Sub033 ISO-P-L, ISO-P-L,1,33
Sub033,Sub033 ISO-M-S, ISO-M-S,1,33
Sub033,Sub033 ISO-M-M, ISO-M-M,1,33
Sub033,Sub033 ISO-M-L, ISO-M-L,1,33
Sub034,Sub034 ISO-P-S, ISO-P-S,1,34
Sub034,Sub034 ISO-P-M, ISO-P-M,0,34
Sub034,Sub034 ISO-P-L, ISO-P-L,1,34
Sub034,Sub034 ISO-M-S, ISO-M-S,0,34
Sub034,Sub034 ISO-M-M, ISO-M-M,0,34
Sub034,Sub034 ISO-M-L, ISO-M-L,1,34
Sub035,Sub035 ISO-P-S, ISO-P-S,0,35
Sub035,Sub035 ISO-P-M, ISO-P-M,1,35
Sub035,Sub035 ISO-P-L, ISO-P-L,1,35
Sub035,Sub035 ISO-M-S, ISO-M-S,1,35
Sub035,Sub035 ISO-M-M, ISO-M-M,0,35
Sub035,Sub035 ISO-M-L, ISO-M-L,1,35
Sub036,Sub036 ISO-P-S, ISO-P-S,1,36
Sub036,Sub036 ISO-P-M, ISO-P-M,0,36
Sub036,Sub036 ISO-P-L, ISO-P-L,0,36
