ID,Label,Genome section,Cost,NitRed,SedRed,WithinSectionID,AlleleCombo
3756,Sub056 InC-P1000,subInC,2668461.591,9647.7082,-63031.1,56,InC-P1000
3757,Sub056 InC-P2000,subInC,5331735.946,9986.0088,-65656.3,56,InC-P2000
3758,Sub056 InC-M25,subInC,56470.1144,4499.9915,-1582.8,56,InC-M25
3759,Sub056 InC-M50,subInC,112940.2288,5139.5139,-764.6,56,InC-M50
3760,Sub056 InC-M250,subInC,564701.1439,7344.6126,-61652.3,56,InC-M250
3761,Sub056 InC-M500,subInC,1105823.12,8119.6161,-62811.8,56,InC-M500
3762,Sub056 InC-M1000,subInC,2207518.344,8815.5293,-65380.2,56,InC-M1000
3763,Sub056 InC-M2000,subInC,4409849.452,9288.7518,-70564.6,56,InC-M2000
3764,Sub057 InC-P25,subInC,68034.073,3578.1817,-56101,57,InC-P25
3765,Sub057 InC-P50,subInC,136068.146,4698.2975,-57449.3,57,InC-P50
3766,Sub057 InC-P250,subInC,680340.7299,6370.1115,-68129.7,57,InC-P250
3767,Sub057 InC-P500,subInC,1337102.292,6727.7895,-68852.3,57,InC-P500
3768,Sub057 InC-P1000,subInC,2670076.688,6832.3251,-70032.9,57,InC-P1000
3769,Sub057 InC-P2000,subInC,5334966.139,6718.6181,-91197.1,57,InC-P2000
3770,Sub057 InC-M25,subInC,56510.4918,4561.41,-135.8,57,InC-M25
3771,Sub057 InC-M50,subInC,113020.9836,5410.1598,36.6,57,InC-M50
3772,Sub057 InC-M250,subInC,565104.9181,6431.2503,-61823.2,57,InC-M250
3773,Sub057 InC-M500,subInC,1106630.668,6475.0737,-68926.1,57,InC-M500
3774,Sub057 InC-M1000,subInC,2209133.441,6464.2301,-72537.6,57,InC-M1000
3775,Sub057 InC-M2000,subInC,4413079.645,6427.6323,-77726.3,57,InC-M2000
3776,Sub058 InC-P25,subInC,65746.9819,13537.0381,-64949.1,58,InC-P25
3777,Sub058 InC-P50,subInC,131493.9637,15773.5693,-66091.2,58,InC-P50
3778,Sub058 InC-P250,subInC,657469.8185,24794.3525,-75413.2,58,InC-P250
3779,Sub058 InC-P500,subInC,1291360.469,29755.1266,-93338.5,58,InC-P500
3780,Sub058 InC-P1000,subInC,2578593.043,34520.2767,-102712.4,58,InC-P1000
3781,Sub058 InC-P2000,subInC,5151998.849,38845.2584,-105142,58,InC-P2000
3782,Sub058 InC-M25,subInC,54223.4007,18765.2607,-64727.4,58,InC-M25
3783,Sub058 InC-M50,subInC,108446.8014,21178.593,-65365.1,58,InC-M50
3784,Sub058 InC-M250,subInC,542234.0068,28171.0041,-69784.8,58,InC-M250
3785,Sub058 InC-M500,subInC,1060888.846,31800.4624,-76067.6,58,InC-M500
3786,Sub058 InC-M1000,subInC,2117649.796,35394.1832,-91927.3,58,InC-M1000
3787,Sub058 InC-M2000,subInC,4230112.354,37472.2161,-109730.4,58,InC-M2000
3788,Sub059 InC-P25,subInC,65531.034,4694.1105,556.8,59,InC-P25
3789,Sub059 InC-P50,subInC,131062.068,5925.923,-1266.3,59,InC-P50
3790,Sub059 InC-P250,subInC,655310.3399,8752.7166,-2415.7,59,InC-P250
3791,Sub059 InC-P500,subInC,1287041.512,9169.8985,-2525.9,59,InC-P500
3792,Sub059 InC-P1000,subInC,2569955.128,9364.7346,-2744.4,59,InC-P1000
3793,Sub059 InC-P2000,subInC,5134723.019,9482.7236,-3130.9,59,InC-P2000
3794,Sub059 InC-M25,subInC,54007.4528,5571.6843,452.1,59,InC-M25
3795,Sub059 InC-M50,subInC,108014.9056,6613.3341,993.8,59,InC-M50
3796,Sub059 InC-M250,subInC,540074.5281,8774.8359,-2906.6,59,InC-M250
3797,Sub059 InC-M500,subInC,1056569.888,9151.4464,-3604.7,59,InC-M500
3798,Sub059 InC-M1000,subInC,2109011.881,9294.8815,-4947.2,59,InC-M1000
3799,Sub059 InC-M2000,subInC,4212836.525,9209.0502,-7649.8,59,InC-M2000
3800,Sub060 InC-P25,subInC,65900.5403,31719.2023,-73829.5,60,InC-P25
3801,Sub060 InC-P50,subInC,131801.0806,35048.2442,-75105.8,60,InC-P50
3802,Sub060 InC-P250,subInC,659005.4028,54295.6123,-82281.4,60,InC-P250
3803,Sub060 InC-P500,subInC,1294431.638,69714.0943,-93165.1,60,InC-P500
3804,Sub060 InC-P1000,subInC,2584735.38,87504.3977,-129071.6,60,InC-P1000
3805,Sub060 InC-P2000,subInC,5164283.523,103267.3416,-181755.5,60,InC-P2000
3806,Sub060 InC-M25,subInC,54376.9591,46315.9995,-74201,60,InC-M25
3807,Sub060 InC-M50,subInC,108753.9182,52243.1704,-74896.1,60,InC-M50
3808,Sub060 InC-M250,subInC,543769.591,72787.8013,-75829,60,InC-M250
3809,Sub060 InC-M500,subInC,1063960.014,84436.0445,-84687.3,60,InC-M500
3810,Sub060 InC-M1000,subInC,2123792.133,96865.7143,-95673.8,60,InC-M1000
3811,Sub060 InC-M2000,subInC,4242397.029,107523.4651,-125390.7,60,InC-M2000
3812,Sub061 InC-P25,subInC,66469.8681,61393.5918,-28422.7,61,InC-P25
3813,Sub061 InC-P50,subInC,132939.7362,65334.4711,-27951.4,61,InC-P50
3814,Sub061 InC-P250,subInC,664698.681,87174.9822,-157215.4,61,InC-P250
3815,Sub061 InC-P500,subInC,1305818.194,106245.8507,-185764.8,61,InC-P500
3816,Sub061 InC-P1000,subInC,2607508.493,134029.5629,-220069.3,61,InC-P1000
3817,Sub061 InC-P2000,subInC,5209829.749,168933.2909,-307621.8,61,InC-P2000
3818,Sub061 InC-M25,subInC,54946.2869,95517.0767,-33624.3,61,InC-M25
