BS,GW,CC,FM,BS+GW,BS+CC,BS+FM,GW+CC,GW+FM,CC+FM,BS+GW+CC,BS+GW+FM,BS+CC+FM,GW+CC+FM,BS+GW+CC+FM,HRU
0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,431
0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,432
1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,433
0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,434
1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,435
1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,436
0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,437
1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,442
0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,443
1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,444
1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,445
0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,446
0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,452
1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,453
1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,454
1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,455
1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,456
1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,465
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,466
0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,467
0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,468
0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,469
1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,470
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,477
1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,478
1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,479
0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,480
0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,481
1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,492
0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,493
1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,494
1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,495
1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,496
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,497
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,500
1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,501
1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,502
1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,503
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,506
1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,507
0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,508
1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,509
1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,510
1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,511
1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,512
1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,517
1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,518
1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,519
0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,520
0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,521
0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,522
1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,523
1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,524
1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,535
0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,536
0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,537
0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,538
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,539
1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,540
1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,541
0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,542
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,543
1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,544
1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,545
1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,552
0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,553
0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,554
0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,555
1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,556
0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,557
0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,560
1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,561
0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,562
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,563
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,570
1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,571
1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,572
0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,573
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,574
1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,575
0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,576
1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,577
1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,578
1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,579
0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,580
1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,581
0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,582
1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,583
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,584
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,585
1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,586
0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,604
0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,605
0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,606
0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,607
0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,608
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,609
0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,610
1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,616
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,617
0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,618
0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,619
1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,623
0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,624
0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,625
1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,640
1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,641
0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,642
0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,643
1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,644
0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,645
1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,669
0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,670
1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,671
0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,672
0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,673
1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,674
1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,687
1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,688
0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,689
0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,690
0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,703
1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,704
1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,705
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,706
1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,720
1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,721
1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,722
1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,723
1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,724
0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,725
0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,726
1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,727
1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,741
1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,742
1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,743
0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,744
0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,745
0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,746
0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,754
0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,755
0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,756
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,757
1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,767
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,768
1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,769
1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,770
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,771
0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,772
0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,781
0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,782
0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,783
1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,784
0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,785
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,786
1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,794
0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,795
1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,796
0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,797
1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,798
1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,799
1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,800
0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,801
1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,802
1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,803
1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,804
0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,805
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,806
0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,807
0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,808
1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,809
1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,810
0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,811
0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,812
0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,813
0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,814
1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,815
1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,816
1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,817
0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,818
0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,819
1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,822
0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,823
0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,828
1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,829
1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,830
1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,831
0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,832
1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,833
1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,840
1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,841
1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,842
1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,843
0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,844
0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,851
0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,852
1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,853
0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,854
0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,855
0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,856
1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,857
0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,858
0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,859
0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,860
0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,861
0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,862
0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,863
1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,864
0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,865
1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,866
0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,867
0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,868
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,869
1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,870
0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,872
0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,873
1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,874
0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,875
1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,876
1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,877
1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,878
1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,888
1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,889
1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,890
1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,891
1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,892
1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,895
0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,896
1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,897
0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,898
0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,905
1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,906
1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,911
1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,912
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,913
0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,914
0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,917
1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,918
1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,925
0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,926
0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,927
0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,928
0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,929
