ID,Label,Cost,NitRed,SedRed,Name
288,Sub048 ISO-M-M,364653.4011,1882.1398,1662.7,ISO-M-M
289,Sub048 ISO-M-L,605712.2448,2616.8163,2477.3,ISO-M-L
290,Sub049 ISO-P-S,209824.551,3163.9606,2809.7,ISO-P-S
291,Sub049 ISO-P-M,622161.1141,4730.058,4202.4,ISO-P-M
292,Sub049 ISO-P-L,1034326.995,5984.2186,5546.4,ISO-P-L
293,Sub049 ISO-M-S,157583.5304,2599.7256,2664,ISO-M-S
294,Sub049 ISO-M-M,465438.0525,3677.0176,3890.7,ISO-M-M
295,Sub049 ISO-M-L,773121.8925,4594.1335,5339.1,ISO-M-L
296,Sub050 ISO-P-S,246328.3255,3887.068,6675.8,ISO-P-S
297,Sub050 ISO-P-M,730400.2545,5213.8279,8556.1,ISO-P-M
298,Sub050 ISO-P-L,1214271.808,5879.6373,9656.8,ISO-P-L
299,Sub050 ISO-M-S,184998.7859,2475.3811,5648,ISO-M-S
300,Sub050 ISO-M-M,546411.6356,3175.3959,6998.5,ISO-M-M
301,Sub050 ISO-M-L,907624.1093,3661.9531,7965.7,ISO-M-L
302,Sub051 ISO-P-S,308653.1681,1811.4914,7473.2,ISO-P-S
303,Sub051 ISO-P-M,915129.8169,2364.742,9442.7,ISO-P-M
304,Sub051 ISO-P-L,1521353.69,2364.742,9442.7,ISO-P-L
305,Sub051 ISO-M-S,231285.5221,1225.2626,6263.9,ISO-M-S
306,Sub051 ISO-M-M,683026.879,1601.8556,7777,ISO-M-M
307,Sub051 ISO-M-L,1134515.46,1717.3797,8179.7,ISO-M-L
308,Sub052 ISO-P-S,199789.3485,590.4146,4114,ISO-P-S
309,Sub052 ISO-P-M,592764.3699,853.461,5669.4,ISO-P-M
310,Sub052 ISO-P-L,985585.2548,1020.7517,6981.5,ISO-P-L
311,Sub052 ISO-M-S,152612.4699,506.1622,3896,ISO-M-S
312,Sub052 ISO-M-M,451233.7341,695.7844,4779.7,ISO-M-M
313,Sub052 ISO-M-L,749700.8618,823.3469,5723.6,ISO-M-L
314,Sub053 ISO-P-S,326295.1646,745.6962,-1011,ISO-P-S
315,Sub053 ISO-P-M,968684.8385,745.6962,-1011,ISO-P-M
316,Sub053 ISO-P-L,1610836.419,745.6962,-1011,ISO-P-L
317,Sub053 ISO-M-S,253421.3446,719.8691,-1020.4,ISO-M-S
318,Sub053 ISO-M-M,750063.3785,729.7045,-1016.9,ISO-M-M
