Label,Practice,subbasin,HRU
Sub031 ISO-P-L, ISO-P-L,31,0
Sub031 ISO-M-S, ISO-M-S,31,0
Sub031 ISO-M-M, ISO-M-M,31,0
Sub031 ISO-M-L, ISO-M-L,31,0
Sub032 ISO-P-S, ISO-P-S,32,0
Sub032 ISO-P-M, ISO-P-M,32,0
Sub032 ISO-P-L, ISO-P-L,32,0
Sub032 ISO-M-S, ISO-M-S,32,0
Sub032 ISO-M-M, ISO-M-M,32,0
Sub032 ISO-M-L, ISO-M-L,32,0
Sub033 ISO-P-S, ISO-P-S,33,0
Sub033 ISO-P-M, ISO-P-M,33,0
Sub033 ISO-P-L, ISO-P-L,33,0
Sub033 ISO-M-S, ISO-M-S,33,0
Sub033 ISO-M-M, ISO-M-M,33,0
Sub033 ISO-M-L, ISO-M-L,33,0
Sub034 ISO-P-S, ISO-P-S,34,0
Sub034 ISO-P-M, ISO-P-M,34,0
Sub034 ISO-P-L, ISO-P-L,34,0
Sub034 ISO-M-S, ISO-M-S,34,0
Sub034 ISO-M-M, ISO-M-M,34,0
Sub034 ISO-M-L, ISO-M-L,34,0
Sub035 ISO-P-S, ISO-P-S,35,0
Sub035 ISO-P-M, ISO-P-M,35,0
Sub035 ISO-P-L, ISO-P-L,35,0
Sub035 ISO-M-S, ISO-M-S,35,0
Sub035 ISO-M-M, ISO-M-M,35,0
Sub035 ISO-M-L, ISO-M-L,35,0
Sub036 ISO-P-S, ISO-P-S,36,0
Sub036 ISO-P-M, ISO-P-M,36,0
Sub036 ISO-P-L, ISO-P-L,36,0
Sub036 ISO-M-S, ISO-M-S,36,0
Sub036 ISO-M-M, ISO-M-M,36,0
Sub036 ISO-M-L, ISO-M-L,36,0
Sub037 ISO-P-S, ISO-P-S,37,0
Sub037 ISO-P-M, ISO-P-M,37,0
Sub037 ISO-P-L, ISO-P-L,37,0
Sub037 ISO-M-S, ISO-M-S,37,0
Sub037 ISO-M-M, ISO-M-M,37,0
Sub037 ISO-M-L, ISO-M-L,37,0
Sub038 ISO-P-S, ISO-P-S,38,0
Sub038 ISO-P-M, ISO-P-M,38,0
Sub038 ISO-P-L, ISO-P-L,38,0
Sub038 ISO-M-S, ISO-M-S,38,0
Sub038 ISO-M-M, ISO-M-M,38,0
Sub038 ISO-M-L, ISO-M-L,38,0
Sub039 ISO-P-S, ISO-P-S,39,0
Sub039 ISO-P-M, ISO-P-M,39,0
Sub039 ISO-P-L, ISO-P-L,39,0
Sub039 ISO-M-S, ISO-M-S,39,0
Sub039 ISO-M-M, ISO-M-M,39,0
Sub039 ISO-M-L, ISO-M-L,39,0
Sub040 ISO-P-S, ISO-P-S,40,0
Sub040 ISO-P-M, ISO-P-M,40,0
Sub040 ISO-P-L, ISO-P-L,40,0
Sub040 ISO-M-S, ISO-M-S,40,0
Sub040 ISO-M-M, ISO-M-M,40,0
Sub040 ISO-M-L, ISO-M-L,40,0
Sub041 ISO-P-S, ISO-P-S,41,0
Sub041 ISO-P-M, ISO-P-M,41,0
Sub041 ISO-P-L, ISO-P-L,41,0
Sub041 ISO-M-S, ISO-M-S,41,0
Sub041 ISO-M-M, ISO-M-M,41,0
Sub041 ISO-M-L, ISO-M-L,41,0
Sub042 ISO-P-S, ISO-P-S,42,0
Sub042 ISO-P-M, ISO-P-M,42,0
