LABEL,Genome Position
BS+GW033,1060
BS+CC033,1060
BS+FM033,1060
GW+CC033,1060
GW+FM033,1060
CC+FM033,1060
BS+GW+CC033,1060
BS+GW+FM033,1060
BS+CC+FM033,1060
GW+CC+FM033,1060
BS+GW+CC+FM033,1060
BS034,1061
GW034,1061
CC034,1061
FM034,1061
BS+GW034,1061
BS+CC034,1061
BS+FM034,1061
GW+CC034,1061
GW+FM034,1061
CC+FM034,1061
BS+GW+CC034,1061
BS+GW+FM034,1061
BS+CC+FM034,1061
GW+CC+FM034,1061
BS+GW+CC+FM034,1061
BS035,1062
GW035,1062
CC035,1062
FM035,1062
BS+GW035,1062
BS+CC035,1062
BS+FM035,1062
GW+CC035,1062
GW+FM035,1062
CC+FM035,1062
BS+GW+CC035,1062
BS+GW+FM035,1062
BS+CC+FM035,1062
GW+CC+FM035,1062
BS+GW+CC+FM035,1062
BS036,1063
GW036,1063
CC036,1063
FM036,1063
BS+GW036,1063
BS+CC036,1063
BS+FM036,1063
GW+CC036,1063
GW+FM036,1063
CC+FM036,1063
BS+GW+CC036,1063
BS+GW+FM036,1063
BS+CC+FM036,1063
GW+CC+FM036,1063
BS+GW+CC+FM036,1063
BS037,1064
GW037,1064
CC037,1064
FM037,1064
BS+GW037,1064
BS+CC037,1064
BS+FM037,1064
GW+CC037,1064
GW+FM037,1064
CC+FM037,1064
BS+GW+CC037,1064
BS+GW+FM037,1064
BS+CC+FM037,1064
GW+CC+FM037,1064
BS+GW+CC+FM037,1064
BS038,1065
GW038,1065
CC038,1065
FM038,1065
BS+GW038,1065
BS+CC038,1065
BS+FM038,1065
GW+CC038,1065
GW+FM038,1065
CC+FM038,1065
BS+GW+CC038,1065
BS+GW+FM038,1065
BS+CC+FM038,1065
GW+CC+FM038,1065
BS+GW+CC+FM038,1065
BS039,1066
GW039,1066
CC039,1066
FM039,1066
BS+GW039,1066
BS+CC039,1066
BS+FM039,1066
GW+CC039,1066
GW+FM039,1066
CC+FM039,1066
BS+GW+CC039,1066
BS+GW+FM039,1066
BS+CC+FM039,1066
GW+CC+FM039,1066
BS+GW+CC+FM039,1066
BS040,1067
GW040,1067
CC040,1067
FM040,1067
BS+GW040,1067
BS+CC040,1067
BS+FM040,1067
GW+CC040,1067
GW+FM040,1067
CC+FM040,1067
BS+GW+CC040,1067
BS+GW+FM040,1067
BS+CC+FM040,1067
GW+CC+FM040,1067
BS+GW+CC+FM040,1067
BS041,1068
GW041,1068
CC041,1068
FM041,1068
BS+GW041,1068
BS+CC041,1068
BS+FM041,1068
GW+CC041,1068
GW+FM041,1068
CC+FM041,1068
BS+GW+CC041,1068
BS+GW+FM041,1068
BS+CC+FM041,1068
GW+CC+FM041,1068
BS+GW+CC+FM041,1068
BS042,1069
GW042,1069
CC042,1069
FM042,1069
BS+GW042,1069
BS+CC042,1069
BS+FM042,1069
GW+CC042,1069
GW+FM042,1069
CC+FM042,1069
BS+GW+CC042,1069
BS+GW+FM042,1069
BS+CC+FM042,1069
GW+CC+FM042,1069
BS+GW+CC+FM042,1069
BS043,1070
GW043,1070
CC043,1070
FM043,1070
BS+GW043,1070
BS+CC043,1070
BS+FM043,1070
GW+CC043,1070
GW+FM043,1070
CC+FM043,1070
BS+GW+CC043,1070
BS+GW+FM043,1070
BS+CC+FM043,1070
GW+CC+FM043,1070
BS+GW+CC+FM043,1070
BS044,1071
GW044,1071
CC044,1071
FM044,1071
BS+GW044,1071
BS+CC044,1071
BS+FM044,1071
GW+CC044,1071
GW+FM044,1071
CC+FM044,1071
BS+GW+CC044,1071
BS+GW+FM044,1071
BS+CC+FM044,1071
GW+CC+FM044,1071
BS+GW+CC+FM044,1071
BS045,1072
GW045,1072
CC045,1072
FM045,1072
BS+GW045,1072
BS+CC045,1072
BS+FM045,1072
GW+CC045,1072
GW+FM045,1072
CC+FM045,1072
BS+GW+CC045,1072
BS+GW+FM045,1072
BS+CC+FM045,1072
GW+CC+FM045,1072
BS+GW+CC+FM045,1072
BS046,1073
GW046,1073
CC046,1073
FM046,1073
BS+GW046,1073
BS+CC046,1073
BS+FM046,1073
GW+CC046,1073
GW+FM046,1073
CC+FM046,1073
BS+GW+CC046,1073
BS+GW+FM046,1073
BS+CC+FM046,1073
GW+CC+FM046,1073
BS+GW+CC+FM046,1073
BS047,1074
GW047,1074
CC047,1074
FM047,1074
BS+GW047,1074
BS+CC047,1074
BS+FM047,1074
GW+CC047,1074
GW+FM047,1074
CC+FM047,1074
BS+GW+CC047,1074
BS+GW+FM047,1074
BS+CC+FM047,1074
GW+CC+FM047,1074
BS+GW+CC+FM047,1074
BS048,1075
GW048,1075
CC048,1075
FM048,1075
BS+GW048,1075
BS+CC048,1075
BS+FM048,1075
GW+CC048,1075
GW+FM048,1075
CC+FM048,1075
BS+GW+CC048,1075
BS+GW+FM048,1075
BS+CC+FM048,1075
GW+CC+FM048,1075
BS+GW+CC+FM048,1075
BS049,1076
GW049,1076
CC049,1076
FM049,1076
BS+GW049,1076
BS+CC049,1076
BS+FM049,1076
GW+CC049,1076
GW+FM049,1076
CC+FM049,1076
BS+GW+CC049,1076
BS+GW+FM049,1076
BS+CC+FM049,1076
GW+CC+FM049,1076
BS+GW+CC+FM049,1076
BS050,1077
GW050,1077
CC050,1077
FM050,1077
BS+GW050,1077
BS+CC050,1077
BS+FM050,1077
GW+CC050,1077
GW+FM050,1077
CC+FM050,1077
BS+GW+CC050,1077
BS+GW+FM050,1077
BS+CC+FM050,1077
GW+CC+FM050,1077
BS+GW+CC+FM050,1077
BS051,1078
GW051,1078
CC051,1078
FM051,1078
BS+GW051,1078
BS+CC051,1078
BS+FM051,1078
GW+CC051,1078
GW+FM051,1078
CC+FM051,1078
BS+GW+CC051,1078
BS+GW+FM051,1078
BS+CC+FM051,1078
GW+CC+FM051,1078
BS+GW+CC+FM051,1078
BS052,1079
GW052,1079
CC052,1079
FM052,1079
BS+GW052,1079
BS+CC052,1079
BS+FM052,1079
GW+CC052,1079
GW+FM052,1079
CC+FM052,1079
BS+GW+CC052,1079
BS+GW+FM052,1079
BS+CC+FM052,1079
GW+CC+FM052,1079
BS+GW+CC+FM052,1079
BS053,1080
GW053,1080
CC053,1080
FM053,1080
BS+GW053,1080
BS+CC053,1080
BS+FM053,1080
GW+CC053,1080
GW+FM053,1080
CC+FM053,1080
BS+GW+CC053,1080
BS+GW+FM053,1080
BS+CC+FM053,1080
GW+CC+FM053,1080
BS+GW+CC+FM053,1080
BS054,1081
GW054,1081
CC054,1081
FM054,1081
BS+GW054,1081
BS+CC054,1081
BS+FM054,1081
GW+CC054,1081
GW+FM054,1081
CC+FM054,1081
BS+GW+CC054,1081
BS+GW+FM054,1081
BS+CC+FM054,1081
GW+CC+FM054,1081
BS+GW+CC+FM054,1081
BS055,1082
GW055,1082
CC055,1082
FM055,1082
BS+GW055,1082
BS+CC055,1082
BS+FM055,1082
GW+CC055,1082
GW+FM055,1082
CC+FM055,1082
BS+GW+CC055,1082
BS+GW+FM055,1082
BS+CC+FM055,1082
GW+CC+FM055,1082
BS+GW+CC+FM055,1082
BS056,1083
GW056,1083
CC056,1083
FM056,1083
BS+GW056,1083
BS+CC056,1083
BS+FM056,1083
GW+CC056,1083
GW+FM056,1083
CC+FM056,1083
BS+GW+CC056,1083
BS+GW+FM056,1083
BS+CC+FM056,1083
GW+CC+FM056,1083
BS+GW+CC+FM056,1083
BS057,1084
GW057,1084
CC057,1084
FM057,1084
BS+GW057,1084
BS+CC057,1084
BS+FM057,1084
GW+CC057,1084
GW+FM057,1084
CC+FM057,1084
BS+GW+CC057,1084
BS+GW+FM057,1084
BS+CC+FM057,1084
GW+CC+FM057,1084
BS+GW+CC+FM057,1084
BS058,1085
GW058,1085
CC058,1085
FM058,1085
BS+GW058,1085
BS+CC058,1085
BS+FM058,1085
GW+CC058,1085
GW+FM058,1085
CC+FM058,1085
BS+GW+CC058,1085
BS+GW+FM058,1085
BS+CC+FM058,1085
GW+CC+FM058,1085
BS+GW+CC+FM058,1085
BS059,1086
GW059,1086
CC059,1086
FM059,1086
BS+GW059,1086
BS+CC059,1086
BS+FM059,1086
GW+CC059,1086
GW+FM059,1086
CC+FM059,1086
BS+GW+CC059,1086
BS+GW+FM059,1086
BS+CC+FM059,1086
GW+CC+FM059,1086
BS+GW+CC+FM059,1086
BS060,1087
GW060,1087
CC060,1087
FM060,1087
BS+GW060,1087
BS+CC060,1087
BS+FM060,1087
GW+CC060,1087
GW+FM060,1087
CC+FM060,1087
BS+GW+CC060,1087
BS+GW+FM060,1087
BS+CC+FM060,1087
GW+CC+FM060,1087
BS+GW+CC+FM060,1087
BS061,1088
GW061,1088
CC061,1088
FM061,1088
BS+GW061,1088
BS+CC061,1088
BS+FM061,1088
GW+CC061,1088
GW+FM061,1088
CC+FM061,1088
BS+GW+CC061,1088
BS+GW+FM061,1088
BS+CC+FM061,1088
GW+CC+FM061,1088
BS+GW+CC+FM061,1088
BS062,1089
GW062,1089
CC062,1089
FM062,1089
BS+GW062,1089
BS+CC062,1089
BS+FM062,1089
GW+CC062,1089
GW+FM062,1089
CC+FM062,1089
BS+GW+CC062,1089
BS+GW+FM062,1089
BS+CC+FM062,1089
GW+CC+FM062,1089
BS+GW+CC+FM062,1089
BS063,1090
GW063,1090
CC063,1090
FM063,1090
BS+GW063,1090
BS+CC063,1090
BS+FM063,1090
GW+CC063,1090
GW+FM063,1090
CC+FM063,1090
BS+GW+CC063,1090
BS+GW+FM063,1090
BS+CC+FM063,1090
GW+CC+FM063,1090
BS+GW+CC+FM063,1090
BS064,1091
GW064,1091
CC064,1091
FM064,1091
BS+GW064,1091
BS+CC064,1091
BS+FM064,1091
GW+CC064,1091
GW+FM064,1091
CC+FM064,1091
BS+GW+CC064,1091
BS+GW+FM064,1091
BS+CC+FM064,1091
GW+CC+FM064,1091
BS+GW+CC+FM064,1091
BS065,1092
GW065,1092
CC065,1092
FM065,1092
BS+GW065,1092
BS+CC065,1092
BS+FM065,1092
GW+CC065,1092
GW+FM065,1092
CC+FM065,1092
BS+GW+CC065,1092
BS+GW+FM065,1092
BS+CC+FM065,1092
GW+CC+FM065,1092
BS+GW+CC+FM065,1092
BS066,1093
GW066,1093
CC066,1093
FM066,1093
BS+GW066,1093
BS+CC066,1093
BS+FM066,1093
GW+CC066,1093
GW+FM066,1093
CC+FM066,1093
BS+GW+CC066,1093
BS+GW+FM066,1093
BS+CC+FM066,1093
GW+CC+FM066,1093
BS+GW+CC+FM066,1093
BS067,1094
GW067,1094
CC067,1094
FM067,1094
BS+GW067,1094
BS+CC067,1094
BS+FM067,1094
GW+CC067,1094
GW+FM067,1094
CC+FM067,1094
BS+GW+CC067,1094
BS+GW+FM067,1094
BS+CC+FM067,1094
GW+CC+FM067,1094
BS+GW+CC+FM067,1094
BS068,1095
GW068,1095
CC068,1095
FM068,1095
BS+GW068,1095
BS+CC068,1095
BS+FM068,1095
GW+CC068,1095
GW+FM068,1095
CC+FM068,1095
BS+GW+CC068,1095
BS+GW+FM068,1095
BS+CC+FM068,1095
GW+CC+FM068,1095
BS+GW+CC+FM068,1095
BS069,1096
GW069,1096
CC069,1096
FM069,1096
BS+GW069,1096
BS+CC069,1096
BS+FM069,1096
GW+CC069,1096
GW+FM069,1096
CC+FM069,1096
BS+GW+CC069,1096
