 ISO-P-S, ISO-P-M, ISO-P-L, ISO-M-S, ISO-M-M, ISO-M-L, InC-P25, InC-P50, InC-P250, InC-P500, InC-P1000, InC-P2000, InC-M25, InC-M50, InC-M250, InC-M500, InC-M1000, InC-M2000,subbasin
1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,129
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,130
1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,131
0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,132
1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,133
0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,134
1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,135
1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,136
0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,137
0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,138
0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,139
1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,140
0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,141
1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,142
1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,143
1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,144
1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,145
1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,146
0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,147
1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,148
1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,149
0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,150
0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,151
1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,152
0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,153
0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,154
1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,155
0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,156
0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,157
0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,158
1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,159
1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,160
0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,161
1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,162
1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,163
1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,164
0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,165
0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,166
0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,167
0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,168
1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,169
0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,170
1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,171
1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,172
0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,173
1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,174
0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,175
1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,176
0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,177
0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,178
0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,179
0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,180
0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,181
0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,182
1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,183
0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,184
1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,185
0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,186
1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,187
0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,188
0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,189
1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,190
1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,191
1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,192
0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,193
0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,194
0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,195
0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,196
1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,197
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,198
1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,199
0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,200
1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,201
0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,202
1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,203
0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,204
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,205
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,206
0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,207
0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,208
0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,209
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,210
0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,211
0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,212
1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,213
1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,214
0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,215
0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,216
1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,217
0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,218
0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,219
0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,220
1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,221
1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,222
1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,223
0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,224
0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,225
0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,226
0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,227
0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,228
0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,229
1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,230
0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,231
1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,232
0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,233
1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,234
0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,235
0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,236
0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,237
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,238
1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,239
0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,240
1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,241
1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,242
0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,243
1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,244
1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,245
1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,246
0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,247
0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,248
1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,249
0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,250
1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,251
1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,252
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,253
0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,254
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,255
0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,256
0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,257
1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,258
0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,259
1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,260
1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,261
1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,262
1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,263
1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,264
0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,265
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,266
0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,267
1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,268
0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,269
0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,270
0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,271
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,272
1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,273
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,274
1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,275
1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,276
0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,277
1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,278
1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,279
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,280
1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,281
0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,282
0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,283
0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,284
0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,285
0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,286
1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,287
1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,288
1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,289
0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,290
0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,291
1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,292
0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,293
0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,294
0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,295
1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,296
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,297
1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,298
1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,299
1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,300
0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,301
0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,302
1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,303
0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,304
0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,305
1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,306
1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,307
0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,308
1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,309
0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,310
0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,311
0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,312
1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,313
1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,314
1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,315
1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,316
1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,317
1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,318
1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,319
0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,320
0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,321
0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,322
0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,323
0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,324
1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,325
0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,326
0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,327
0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,328
1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,329
1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,330
1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,331
1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,332
1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,333
1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,334
0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,335
0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,336
1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,337
1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,338
0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,339
0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,340
0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,341
1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,342
0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,343
1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,344
0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,345
0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,346
0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,347
0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,348
1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,349
0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,350
0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,351
0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,352
1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,353
1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,354
0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,355
0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,356
0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,357
1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,358
