Label,ld0.0top10,ld0.0top30,ld0.0top60,ld0.5top10,ld0.5top30,ld0.5top60,ld1.0top10,ld1.0top30,ld1.0top60
Sub030 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub031 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub031 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub031 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub031 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub031 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub031 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub032 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub032 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub032 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub032 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub032 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub032 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub033 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub033 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub033 ISO-P-L,0,0,1,0,0,1,0,0,0
Sub033 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub033 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub033 ISO-M-L,0,0,1,0,0,1,0,0,0
Sub034 ISO-P-S,0,1,1,0,0,1,0,0,1
Sub034 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub034 ISO-P-L,0,0,1,0,0,0,0,0,1
Sub034 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub034 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub034 ISO-M-L,0,0,1,0,0,0,0,0,1
Sub035 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub035 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub035 ISO-P-L,0,0,1,0,0,0,0,0,1
Sub035 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub035 ISO-M-M,0,0,0,0,0,0,0,0,0
Sub035 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub036 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub036 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub036 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub036 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub036 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub036 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub037 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub037 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub037 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub037 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub037 ISO-M-M,0,0,1,0,0,1,0,0,0
Sub037 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub038 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub038 ISO-P-M,0,0,1,0,0,0,0,0,1
Sub038 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub038 ISO-M-S,0,0,0,0,0,0,0,1,1
Sub038 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub038 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub039 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub039 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub039 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub039 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub039 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub039 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub040 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub040 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub040 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub040 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub040 ISO-M-M,0,0,1,0,0,0,0,0,1
Sub040 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub041 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub041 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub041 ISO-P-L,0,0,0,0,0,0,0,0,0
Sub041 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub041 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub041 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub042 ISO-P-S,0,1,1,0,0,1,0,0,1
Sub042 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub042 ISO-P-L,0,0,1,0,0,0,0,0,1
Sub042 ISO-M-S,0,1,1,0,1,1,0,0,1
